Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,22,2170.18,Yes,No
ebc9c10093a1255a,3,FAIL,25,2520.62,Yes,No
ed40414d615431d6,3,FAIL,7,900.14,Yes,No
dce20e150e7fcced,5,FAIL,17,2133.06,No,Yes
3fe8a85b768ae5b7,1,FAIL,7,768.87,Yes,No
1284a7249a4fa10f,3,FAIL,12,1757.16,Yes,No
cbeb87b359947c42,3,FAIL,13,1587.09,Yes,No
c80d64b5c5e39d7b,5,FAIL,18,2216.93,No,Yes
24e8876585456ee5,5,FAIL,21,2996.83,No,Yes
196a88635b1c83b4,4,FAIL,8,1035.82,No,Yes
e82bd665d710bb75,2,PASS,18,2023.49,Yes,No
c6739963a7308111,3,FAIL,8,979.10,Yes,No
953c10f2e4d6fd6,2,PASS,1,251.38,Yes,No
d91761f3ba340d,4,FAIL,15,1892.67,Yes,No
bc66c2e18fd6231b,3,FAIL,8,686.75,Yes,No
4b236c53ea5fbbdf,3,FAIL,5,677.58,Yes,No
5f9a92945a4ab62e,1,FAIL,7,738.54,Yes,No
860fbc1cfd446f7c,3,FAIL,15,1912.24,No,Yes
5b5d43da944a752d,4,FAIL,16,2014.62,No,Yes
971ad9f45d1bd53b,5,FAIL,24,2316.13,Yes,No
5b3d4d35ac301050,2,FAIL,17,1799.16,No,Yes
69a08c785ce5fcac,1,FAIL,2,404.80,Yes,No
a814bed4f6905ba4,5,FAIL,14,1589.55,Yes,No
f32fe4e5b37fedaa,5,FAIL,25,2286.58,No,Yes
3ba7fc567dd14312,3,FAIL,14,1285.86,Yes,No
7ce0b04c1a28cca6,1,FAIL,20,1505.51,Yes,No
8635ff1b1bcf0c2e,5,FAIL,13,2028.17,No,Yes
21df75919e7080e4,3,PASS,8,987.72,Yes,No
daa2db8c01da0bfa,5,FAIL,13,1607.11,No,Yes
6443d25f8c289548,3,FAIL,13,1447.98,Yes,No
91158b440e1d1942,5,FAIL,13,1401.70,No,Yes
1ba6ec5d1f0c3bc6,2,FAIL,13,1099.83,Yes,No
de0f40e0c4c5852a,4,FAIL,7,912.17,Yes,No
7c2cc9e25acdc10f,4,FAIL,20,1977.55,No,Yes
146a216115846f70,5,FAIL,23,2208.36,Yes,No
704931925890a56c,2,FAIL,7,832.33,No,Yes
