Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,100,214.17,No,Yes
ed40414d615431d6,3,FAIL,18,116.20,Yes,No
3fe8a85b768ae5b7,1,FAIL,1,203.86,Yes,No
1284a7249a4fa10f,3,FAIL,10,55.58,Yes,No
24e8876585456ee5,5,FAIL,100,354.72,No,Yes
196a88635b1c83b4,4,FAIL,21,66.58,Yes,No
c6739963a7308111,3,FAIL,52,197.90,Yes,No
953c10f2e4d6fd6,2,PASS,6,28.84,Yes,No
bc66c2e18fd6231b,3,FAIL,32,69.28,Yes,No
4b236c53ea5fbbdf,3,FAIL,47,281.72,Yes,No
860fbc1cfd446f7c,3,FAIL,1,75.30,Yes,No
971ad9f45d1bd53b,5,FAIL,19,104.76,Yes,No
69a08c785ce5fcac,1,FAIL,2,86.21,Yes,No
f32fe4e5b37fedaa,5,FAIL,12,73.10,Yes,No
3ba7fc567dd14312,3,FAIL,26,89.53,Yes,No
21df75919e7080e4,3,FAIL,14,89.43,Yes,No
daa2db8c01da0bfa,5,FAIL,52,267.13,Yes,No
de0f40e0c4c5852a,4,FAIL,17,97.91,Yes,No
7c2cc9e25acdc10f,4,FAIL,31,180.70,Yes,No
22c41f4911d10461,3,FAIL,100,270.70,No,Yes
75761871763e88e3,2,FAIL,100,218.49,No,Yes
a71c3513799bf094,2,FAIL,4,99.14,Yes,No
3b229c1d0453a603,3,FAIL,2,64.60,Yes,No
ba867d9c182c1124,1,FAIL,7,62.29,Yes,No
200a2fdec77f69b6,1,FAIL,17,99.65,Yes,No
efb560f2141edf82,1,PASS,3,36.89,Yes,No
b7b817f9033f188,5,FAIL,100,265.46,No,Yes
4cc3d963aecb0aec,3,FAIL,36,181.20,Yes,No
6a4a59d9017e80e2,4,FAIL,38,423.73,Yes,No
c611d73335c05ea3,3,FAIL,100,209.40,No,Yes
1b62c846b90e5d1d,3,FAIL,23,76.68,Yes,No
e1b6f8b19d2f4176,2,FAIL,48,201.24,Yes,No
c09ea70a605760d3,1,FAIL,6,251.76,Yes,No
4582b19904d9a029,1,FAIL,9,48.19,Yes,No
bc71d833fad658fb,1,FAIL,9,44.41,Yes,No
85f95e3fbcd76abb,3,FAIL,1,23.30,Yes,No
ad8f394763490f26,3,FAIL,3,24.96,Yes,No
5d259263ec5a5c9e,4,FAIL,74,128.29,Yes,No
62d5ef592f8f91fc,3,FAIL,38,56.80,Yes,No
220246750ec56ccb,2,FAIL,4,5.07,Yes,No
f425a63fc423ced0,3,FAIL,14,228.96,Yes,No
b3e3c52cd5223942,5,FAIL,52,137.98,Yes,No
d71204c97803d9a,4,FAIL,100,234.27,No,Yes
440d97e917325fb0,3,PASS,29,157.28,Yes,No
dbd181183bb9f775,4,FAIL,73,185.68,Yes,No
