Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,100,215.15,No,Yes
ebc9c10093a1255a,3,FAIL,100,200.63,No,Yes
ed40414d615431d6,3,FAIL,7,66.01,Yes,No
dce20e150e7fcced,5,FAIL,100,203.27,No,Yes
3fe8a85b768ae5b7,1,FAIL,100,203.71,No,Yes
1284a7249a4fa10f,3,FAIL,6,55.07,Yes,No
cbeb87b359947c42,3,FAIL,17,72.17,Yes,No
c80d64b5c5e39d7b,5,FAIL,22,70.32,Yes,No
24e8876585456ee5,5,FAIL,19,66.87,Yes,No
196a88635b1c83b4,4,FAIL,7,34.65,Yes,No
e82bd665d710bb75,2,FAIL,22,61.10,Yes,No
c6739963a7308111,3,FAIL,24,83.04,Yes,No
953c10f2e4d6fd6,2,PASS,3,25.72,Yes,No
d91761f3ba340d,4,FAIL,41,131.06,Yes,No
bc66c2e18fd6231b,3,FAIL,100,179.66,No,Yes
4b236c53ea5fbbdf,3,FAIL,7,29.68,Yes,No
5f9a92945a4ab62e,1,FAIL,29,82.97,Yes,No
860fbc1cfd446f7c,3,FAIL,1,9.53,Yes,No
5b5d43da944a752d,4,FAIL,83,161.64,Yes,No
971ad9f45d1bd53b,5,FAIL,33,69.06,Yes,No
5b3d4d35ac301050,2,FAIL,100,248.70,No,Yes
69a08c785ce5fcac,1,PASS,23,123.62,Yes,No
a814bed4f6905ba4,5,FAIL,100,350.46,No,Yes
f32fe4e5b37fedaa,5,FAIL,19,87.45,Yes,No
3ba7fc567dd14312,3,FAIL,100,363.42,No,Yes
7ce0b04c1a28cca6,1,FAIL,100,253.66,No,Yes
8635ff1b1bcf0c2e,5,FAIL,100,233.88,No,Yes
21df75919e7080e4,3,FAIL,23,98.59,Yes,No
daa2db8c01da0bfa,5,FAIL,12,50.93,Yes,No
6443d25f8c289548,3,FAIL,3,29.40,Yes,No
91158b440e1d1942,5,FAIL,100,193.49,No,Yes
1ba6ec5d1f0c3bc6,2,FAIL,100,222.74,No,Yes
de0f40e0c4c5852a,4,FAIL,100,212.97,No,Yes
7c2cc9e25acdc10f,4,FAIL,23,69.43,Yes,No
146a216115846f70,5,FAIL,100,213.07,No,Yes
704931925890a56c,2,FAIL,28,72.37,Yes,No
22c41f4911d10461,3,FAIL,100,222.65,No,Yes
75761871763e88e3,2,FAIL,53,118.07,Yes,No
fee7fa98ecbf4534,1,FAIL,24,84.63,Yes,No
3abef01e5d890e13,4,FAIL,100,195.95,No,Yes
a71c3513799bf094,2,FAIL,2,51.27,Yes,No
3b229c1d0453a603,3,FAIL,8,61.48,Yes,No
ba867d9c182c1124,1,FAIL,20,82.18,Yes,No
22ee8177bb6b927d,4,FAIL,62,148.11,Yes,No
200a2fdec77f69b6,1,FAIL,16,79.49,Yes,No
4c7b5bd02c9270d,3,FAIL,23,71.87,Yes,No
efb560f2141edf82,1,PASS,3,39.50,Yes,No
b7b817f9033f188,5,FAIL,100,196.61,No,Yes
4cc3d963aecb0aec,3,FAIL,100,208.31,No,Yes
6a4a59d9017e80e2,4,FAIL,62,141.98,Yes,No
a483b2ad65b79823,4,FAIL,100,189.62,No,Yes
c611d73335c05ea3,3,FAIL,85,182.28,Yes,No
9fc7d6795a3be635,2,FAIL,100,207.17,No,Yes
9b4f3b36495c1615,3,FAIL,100,223.39,No,Yes
1b62c846b90e5d1d,3,FAIL,22,74.71,Yes,No
934d99322aa22dff,1,FAIL,4,21.23,Yes,No
cd5b6b24c51fb69a,2,FAIL,100,197.15,No,Yes
bb9d7db6f55f1f1e,4,FAIL,22,44.47,Yes,No
d1e03bb313e747a9,1,FAIL,100,196.35,No,Yes
e1b6f8b19d2f4176,2,FAIL,100,207.73,No,Yes
c09ea70a605760d3,1,FAIL,100,253.63,No,Yes
58a0f5bca3ff514c,5,FAIL,86,240.04,Yes,No
625730bf3883005c,4,FAIL,100,215.21,No,Yes
8211b75bfb0c714d,1,PASS,25,103.09,Yes,No
12adf37a767b56ea,2,FAIL,12,54.13,Yes,No
4582b19904d9a029,1,FAIL,100,227.04,No,Yes
62035ff8ad16cb71,2,FAIL,100,274.68,No,Yes
5c3f4379847796c4,4,FAIL,22,83.00,Yes,No
bc71d833fad658fb,1,FAIL,3,35.61,Yes,No
77da6edaa689f44a,2,FAIL,25,87.64,Yes,No
7326259652efbc9d,4,FAIL,69,152.50,Yes,No
85f95e3fbcd76abb,3,FAIL,7,41.10,Yes,No
bb667cb09578b4a3,5,FAIL,100,219.89,No,Yes
