Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,8,82.62,No,Yes
ebc9c10093a1255a,3,FAIL,7,61.67,Yes,No
ed40414d615431d6,3,FAIL,9,66.97,No,Yes
dce20e150e7fcced,5,FAIL,31,260.21,No,Yes
3fe8a85b768ae5b7,1,FAIL,8,64.64,No,Yes
1284a7249a4fa10f,3,FAIL,7,60.40,No,Yes
cbeb87b359947c42,3,FAIL,23,102.51,No,Yes
c80d64b5c5e39d7b,5,FAIL,18,73.90,Yes,No
24e8876585456ee5,5,FAIL,24,107.41,No,Yes
196a88635b1c83b4,4,FAIL,5,48.73,Yes,No
e82bd665d710bb75,2,FAIL,17,46.91,No,Yes
c6739963a7308111,3,PASS,8,45.81,Yes,No
953c10f2e4d6fd6,2,FAIL,15,61.10,No,Yes
d91761f3ba340d,4,FAIL,20,63.72,No,Yes
bc66c2e18fd6231b,3,FAIL,15,50.21,No,Yes
4b236c53ea5fbbdf,3,FAIL,23,58.56,No,Yes
5f9a92945a4ab62e,1,FAIL,9,37.25,No,Yes
860fbc1cfd446f7c,3,FAIL,17,51.13,No,Yes
5b5d43da944a752d,4,FAIL,11,44.21,No,Yes
971ad9f45d1bd53b,5,FAIL,8,15.21,Yes,No
5b3d4d35ac301050,2,FAIL,14,72.15,Yes,No
69a08c785ce5fcac,1,FAIL,2,49.78,Yes,No
a814bed4f6905ba4,5,FAIL,19,87.16,No,Yes
f32fe4e5b37fedaa,5,FAIL,16,83.47,No,Yes
3ba7fc567dd14312,3,FAIL,8,54.16,No,Yes
7ce0b04c1a28cca6,1,FAIL,8,66.41,Yes,No
8635ff1b1bcf0c2e,5,FAIL,13,118.82,No,Yes
21df75919e7080e4,3,FAIL,8,47.30,Yes,No
daa2db8c01da0bfa,5,FAIL,18,94.54,No,Yes
6443d25f8c289548,3,FAIL,8,49.80,No,Yes
91158b440e1d1942,5,FAIL,30,97.57,No,Yes
1ba6ec5d1f0c3bc6,2,FAIL,15,59.14,No,Yes
de0f40e0c4c5852a,4,FAIL,17,60.77,No,Yes
7c2cc9e25acdc10f,4,FAIL,9,35.37,Yes,No
146a216115846f70,5,FAIL,25,76.38,No,Yes
704931925890a56c,2,FAIL,9,54.79,No,Yes
22c41f4911d10461,3,FAIL,15,55.39,No,Yes
75761871763e88e3,2,FAIL,19,65.77,Yes,No
fee7fa98ecbf4534,1,PASS,6,21.08,Yes,No
3abef01e5d890e13,4,FAIL,16,72.91,No,Yes
a71c3513799bf094,2,FAIL,2,52.84,Yes,No
3b229c1d0453a603,3,FAIL,11,82.84,No,Yes
ba867d9c182c1124,1,FAIL,15,93.29,No,Yes
22ee8177bb6b927d,4,FAIL,11,69.12,Yes,No
200a2fdec77f69b6,1,PASS,9,71.17,Yes,No
4c7b5bd02c9270d,3,FAIL,21,96.74,No,Yes
efb560f2141edf82,1,FAIL,21,100.94,No,Yes
b7b817f9033f188,5,FAIL,21,84.12,No,Yes
4cc3d963aecb0aec,3,FAIL,7,42.27,No,Yes
6a4a59d9017e80e2,4,FAIL,14,70.21,No,Yes
a483b2ad65b79823,4,FAIL,22,77.90,No,Yes
c611d73335c05ea3,3,FAIL,7,67.93,No,Yes
9fc7d6795a3be635,2,FAIL,11,84.95,No,Yes
9b4f3b36495c1615,3,FAIL,7,29.43,No,Yes
1b62c846b90e5d1d,3,FAIL,15,83.77,Yes,No
934d99322aa22dff,1,FAIL,14,34.46,No,Yes
cd5b6b24c51fb69a,2,FAIL,2,12.89,No,Yes
bb9d7db6f55f1f1e,4,FAIL,7,89.32,No,Yes
d1e03bb313e747a9,1,FAIL,15,35.09,No,Yes
e1b6f8b19d2f4176,2,FAIL,17,64.74,No,Yes
c09ea70a605760d3,1,FAIL,9,76.32,Yes,No
58a0f5bca3ff514c,5,FAIL,16,113.20,No,Yes
625730bf3883005c,4,FAIL,12,83.53,Yes,No
8211b75bfb0c714d,1,FAIL,8,52.67,No,Yes
12adf37a767b56ea,2,FAIL,4,58.75,Yes,No
4582b19904d9a029,1,FAIL,11,82.14,No,Yes
62035ff8ad16cb71,2,FAIL,8,62.64,No,Yes
5c3f4379847796c4,4,FAIL,19,101.36,No,Yes
bc71d833fad658fb,1,FAIL,7,100.89,No,Yes
77da6edaa689f44a,2,FAIL,6,60.18,Yes,No
7326259652efbc9d,4,FAIL,1,24.42,No,Yes
85f95e3fbcd76abb,3,FAIL,10,66.45,No,Yes
bb667cb09578b4a3,5,FAIL,8,93.20,Yes,No
ad8f394763490f26,3,FAIL,7,33.71,No,Yes
3d1c8a00f582892,3,FAIL,15,36.52,No,Yes
b10c07139b1aa490,1,FAIL,13,39.40,No,Yes
5d259263ec5a5c9e,4,FAIL,16,59.55,No,Yes
62d5ef592f8f91fc,3,FAIL,17,58.29,No,Yes
be49f0eca3cd4c32,1,FAIL,9,38.28,Yes,No
220246750ec56ccb,2,FAIL,7,17.16,Yes,No
f425a63fc423ced0,3,FAIL,6,71.65,Yes,No
b3e3c52cd5223942,5,FAIL,7,61.37,Yes,No
ce576f59fcd8e5b5,4,FAIL,14,72.09,No,Yes
d71204c97803d9a,4,FAIL,15,95.47,No,Yes
cc4ff7682e293a1b,2,FAIL,13,58.19,No,Yes
b25e33c50909fc03,2,FAIL,7,86.13,Yes,No
f271fc95525040b1,5,FAIL,25,98.04,No,Yes
9390c84b6360b4bb,1,PASS,19,96.14,Yes,No
a454bd9c3ad0168a,5,FAIL,8,45.29,No,Yes
db130c08db23e907,1,FAIL,13,84.72,No,Yes
5c59a67541d92c71,5,FAIL,35,119.75,No,Yes
745deea1055373eb,3,FAIL,13,54.32,No,Yes
440d97e917325fb0,3,FAIL,7,30.93,No,Yes
dbd181183bb9f775,4,FAIL,4,28.49,No,Yes
fef8e390bd7a2a7a,5,FAIL,22,80.68,Yes,No
3987c3fc8d33089e,3,FAIL,12,47.12,No,Yes
851365be4fc5c5e,2,FAIL,14,39.56,No,Yes
e20e6b6a00158bdc,5,FAIL,8,41.93,No,Yes
841b2d97bb365b8b,4,FAIL,15,50.36,No,Yes
b4d66071dc728f44,2,FAIL,11,35.56,No,Yes
1e7c5367fa438e3b,5,FAIL,18,106.59,No,Yes
b8eb6f7dd1cc9b86,1,FAIL,7,66.29,No,Yes
1796837aa68c2b76,3,FAIL,7,73.48,No,Yes
598f03a76e659bbd,3,FAIL,9,85.80,No,Yes
a8ea92dd47f4186b,2,FAIL,16,73.50,No,Yes
a305fe218d16e612,4,FAIL,15,78.16,No,Yes
d58e426a05bbebe0,4,FAIL,12,61.99,Yes,No
95baf8b98ab6874,5,FAIL,4,49.79,Yes,No
d72e6e1a7317b676,4,FAIL,12,52.28,No,Yes
b2888d9633744522,3,FAIL,27,81.68,No,Yes
fb69acc1bff1c7b5,2,FAIL,6,41.18,Yes,No
1b23ec5dcd81c575,2,FAIL,20,83.90,Yes,No
dedb9695c830d9a1,5,FAIL,15,71.29,No,Yes
94e6829bc5fe599b,4,FAIL,16,91.09,No,Yes
7f61e30cde11dfd2,5,FAIL,16,53.03,No,Yes
ac07176ade6d4fcc,2,FAIL,8,41.05,No,Yes
aecb916b87a88a32,3,FAIL,1,18.96,Yes,No
6a3a112c0f2e831b,5,FAIL,10,53.64,No,Yes
e836ae53a1a6b880,5,FAIL,12,36.35,No,Yes
58d9c6f1f97d78c1,2,FAIL,12,52.06,No,Yes
10bea253035c791c,2,FAIL,19,96.23,No,Yes
5569f16359d15a33,5,FAIL,34,133.75,No,Yes
d4af13ed1d455209,1,FAIL,15,75.90,Yes,No
4efa50053369c63c,3,FAIL,15,82.21,No,Yes
4088920d22fbc15a,2,FAIL,10,91.65,Yes,No
9ecc1e98360e6c0d,3,FAIL,10,59.25,No,Yes
8b47902d43ed5c7,3,FAIL,12,63.26,No,Yes
6911f7c1419318bb,4,FAIL,9,71.53,No,Yes
ed62498f9a7cf7a5,4,FAIL,24,103.94,No,Yes
4b518615758126ef,3,FAIL,10,74.87,No,Yes
a2a967199664a80,4,FAIL,17,73.59,No,Yes
93c544fa7b73dc1a,4,FAIL,15,65.44,No,Yes
b54da7bdff2713e1,2,FAIL,21,72.18,No,Yes
2c5ddc804e5b35ba,1,FAIL,10,63.96,No,Yes
241a28965ab741d,1,FAIL,2,24.58,Yes,No
4a5c32111bf61aae,5,FAIL,2,13.93,Yes,No
65171c970b77339e,2,FAIL,11,43.33,No,Yes
70c971586d6ab721,1,FAIL,1,9.91,No,Yes
dd196820fff0f585,2,FAIL,16,60.56,No,Yes
683d3d2b64d8d1fb,4,FAIL,14,37.37,No,Yes
3ca9fa7e19e2188c,4,FAIL,16,74.58,Yes,No
581706995f65f93d,5,FAIL,1,48.06,Yes,No
8f5dd8ca7b23f826,4,FAIL,13,141.12,No,Yes
4c6a9d610b717d17,3,FAIL,16,86.74,No,Yes
f701ba6827f8ceff,2,FAIL,7,58.08,Yes,No
24dd9a735b612dc1,3,FAIL,12,76.06,No,Yes
138e21433d2e6a52,2,FAIL,8,53.83,Yes,No
72a1fec5c73b6560,4,FAIL,21,93.89,No,Yes
86c16115d5cda6a0,5,FAIL,57,126.31,No,Yes
2790e863a5831db9,3,FAIL,15,65.61,Yes,No
ab298046d34718be,5,FAIL,20,67.87,No,Yes
ad8274727f965b1c,1,FAIL,4,31.89,Yes,No
a722e79130881da0,2,FAIL,16,92.11,No,Yes
9435f4bc2b1cf34d,1,FAIL,4,43.46,Yes,No
2e4b26ec1c401cbe,4,FAIL,26,145.79,No,Yes
8b308dfba88e4ac,3,FAIL,1,16.28,Yes,No
701d6d1daff25a25,2,FAIL,16,58.11,No,Yes
f42b8d86bfb89096,1,FAIL,13,28.90,Yes,No
c4341ab9fd5c439c,1,FAIL,2,15.14,No,Yes
97be11048bb04a30,3,FAIL,7,32.07,Yes,No
7f403db698db059f,1,FAIL,7,72.55,Yes,No
9e892fbdd6f4c4a9,2,FAIL,20,105.39,No,Yes
b7672ba95aff4ff6,5,FAIL,24,105.87,No,Yes
e0e6857dd441101b,2,FAIL,17,112.20,No,Yes
a12c7a055e6395a2,2,FAIL,16,80.80,Yes,No
e8f814f726cb4612,5,FAIL,22,92.31,No,Yes
fc19c4a5e89d29f4,4,FAIL,12,58.46,No,Yes
4ec9d16a5a573d4e,2,FAIL,1,30.50,Yes,No
8bbb1046d8c49095,1,FAIL,9,49.05,No,Yes
8e231f18dc7d476f,5,FAIL,16,73.42,No,Yes
50ed62dcb0f1bce3,4,FAIL,12,63.48,No,Yes
154515f7b4e4fe2b,2,PASS,2,51.75,Yes,No
1a43bd0f8e35bd1d,2,FAIL,7,33.34,No,Yes
281ee792644831c5,2,FAIL,10,49.57,No,Yes
c881c033239a38de,3,FAIL,9,26.65,No,Yes
a92cdc81d7a94775,5,FAIL,16,40.91,No,Yes
9283bfdf68bc92a8,2,FAIL,12,52.05,No,Yes
b7cbcba402c57078,2,FAIL,10,25.75,No,Yes
11846421c28ce2aa,4,FAIL,8,22.74,No,Yes
2a0e2b1240764998,4,FAIL,17,43.99,No,Yes
577d6771b88eca36,3,FAIL,15,80.92,Yes,No
9c31840855436adc,5,FAIL,18,89.02,No,Yes
495da6f2a1c1f750,5,FAIL,3,53.80,Yes,No
544628c3b3077982,5,FAIL,27,108.98,Yes,No
95bd7bebb5849554,2,FAIL,1,38.75,Yes,No
5daa7098e5e15b8a,3,FAIL,18,136.34,No,Yes
2d360e53c1cbf48e,2,FAIL,21,74.09,No,Yes
ad210a7535f9228a,3,FAIL,11,53.58,No,Yes
4d1f8e4f341d8ba,2,FAIL,12,58.28,Yes,No
c0bf87685a69078a,2,FAIL,8,42.69,No,Yes
e155b38ad467ae03,5,FAIL,15,68.19,Yes,No
525f7011d139f68e,1,FAIL,5,34.26,Yes,No
85ace8079f2972ab,3,FAIL,20,82.95,No,Yes
d79be6059dc29292,2,FAIL,16,68.47,Yes,No
