Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,100,558.74,No,Yes
ed40414d615431d6,3,FAIL,100,394.17,No,Yes
dce20e150e7fcced,5,FAIL,100,352.55,No,Yes
3fe8a85b768ae5b7,1,FAIL,1,329.65,Yes,No
1284a7249a4fa10f,3,FAIL,10,138.09,Yes,No
c80d64b5c5e39d7b,5,FAIL,40,454.02,Yes,No
196a88635b1c83b4,4,FAIL,20,94.44,Yes,No
e82bd665d710bb75,2,FAIL,18,81.49,Yes,No
c6739963a7308111,3,PASS,11,214.27,Yes,No
953c10f2e4d6fd6,2,PASS,11,68.38,Yes,No
d91761f3ba340d,4,FAIL,40,194.21,Yes,No
bc66c2e18fd6231b,3,FAIL,78,266.19,Yes,No
4b236c53ea5fbbdf,3,FAIL,7,144.49,Yes,No
5f9a92945a4ab62e,1,FAIL,74,322.50,Yes,No
860fbc1cfd446f7c,3,FAIL,5,91.06,Yes,No
5b5d43da944a752d,4,FAIL,39,109.32,Yes,No
971ad9f45d1bd53b,5,FAIL,33,128.30,Yes,No
5b3d4d35ac301050,2,FAIL,39,395.70,Yes,No
69a08c785ce5fcac,1,FAIL,4,55.38,Yes,No
a814bed4f6905ba4,5,FAIL,34,148.28,Yes,No
f32fe4e5b37fedaa,5,FAIL,66,274.86,Yes,No
3ba7fc567dd14312,3,FAIL,42,265.41,Yes,No
7ce0b04c1a28cca6,1,FAIL,100,331.44,No,Yes
8635ff1b1bcf0c2e,5,FAIL,56,382.46,Yes,No
21df75919e7080e4,3,PASS,27,131.65,Yes,No
daa2db8c01da0bfa,5,FAIL,14,114.28,Yes,No
6443d25f8c289548,3,FAIL,6,46.44,Yes,No
91158b440e1d1942,5,FAIL,100,505.25,No,Yes
1ba6ec5d1f0c3bc6,2,FAIL,63,203.37,Yes,No
de0f40e0c4c5852a,4,FAIL,24,131.43,Yes,No
7c2cc9e25acdc10f,4,FAIL,19,189.02,Yes,No
146a216115846f70,5,FAIL,100,553.91,No,Yes
704931925890a56c,2,FAIL,29,144.07,Yes,No
22c41f4911d10461,3,FAIL,22,321.46,Yes,No
75761871763e88e3,2,FAIL,100,632.53,No,Yes
fee7fa98ecbf4534,1,FAIL,8,51.19,Yes,No
a71c3513799bf094,2,FAIL,20,126.22,Yes,No
3b229c1d0453a603,3,FAIL,2,232.36,Yes,No
ba867d9c182c1124,1,FAIL,17,104.99,Yes,No
22ee8177bb6b927d,4,FAIL,28,120.51,Yes,No
200a2fdec77f69b6,1,PASS,53,358.20,Yes,No
4c7b5bd02c9270d,3,FAIL,41,163.62,Yes,No
efb560f2141edf82,1,PASS,3,37.94,Yes,No
b7b817f9033f188,5,FAIL,100,439.10,No,Yes
6a4a59d9017e80e2,4,FAIL,20,253.97,Yes,No
a483b2ad65b79823,4,FAIL,100,471.67,No,Yes
c611d73335c05ea3,3,FAIL,32,417.71,Yes,No
9fc7d6795a3be635,2,FAIL,100,628.25,No,Yes
9b4f3b36495c1615,3,FAIL,38,324.01,Yes,No
1b62c846b90e5d1d,3,FAIL,55,558.20,Yes,No
934d99322aa22dff,1,FAIL,15,85.96,Yes,No
bb9d7db6f55f1f1e,4,FAIL,54,183.21,Yes,No
d1e03bb313e747a9,1,FAIL,48,206.27,Yes,No
e1b6f8b19d2f4176,2,FAIL,24,499.79,Yes,No
c09ea70a605760d3,1,FAIL,25,118.95,Yes,No
58a0f5bca3ff514c,5,FAIL,68,302.20,Yes,No
625730bf3883005c,4,FAIL,73,446.21,Yes,No
8211b75bfb0c714d,1,PASS,20,146.96,Yes,No
12adf37a767b56ea,2,FAIL,10,135.64,Yes,No
4582b19904d9a029,1,PASS,17,118.53,Yes,No
62035ff8ad16cb71,2,FAIL,100,342.43,No,Yes
5c3f4379847796c4,4,FAIL,37,181.82,Yes,No
bc71d833fad658fb,1,FAIL,17,93.56,Yes,No
77da6edaa689f44a,2,FAIL,50,195.21,Yes,No
7326259652efbc9d,4,FAIL,22,465.26,Yes,No
85f95e3fbcd76abb,3,FAIL,1,26.91,Yes,No
ad8f394763490f26,3,FAIL,100,305.68,No,Yes
b10c07139b1aa490,1,PASS,46,157.50,Yes,No
5d259263ec5a5c9e,4,FAIL,27,119.05,Yes,No
