Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,34,670.08,Yes,No
ebc9c10093a1255a,3,FAIL,8,354.14,No,Yes
ed40414d615431d6,3,FAIL,11,350.29,No,Yes
dce20e150e7fcced,5,FAIL,23,502.80,No,Yes
3fe8a85b768ae5b7,1,FAIL,1,58.99,Yes,No
1284a7249a4fa10f,3,FAIL,4,149.73,Yes,No
cbeb87b359947c42,3,FAIL,11,214.36,Yes,No
c80d64b5c5e39d7b,5,FAIL,17,246.06,Yes,No
24e8876585456ee5,5,FAIL,8,205.49,Yes,No
196a88635b1c83b4,4,FAIL,5,140.62,Yes,No
e82bd665d710bb75,2,FAIL,10,213.50,Yes,No
c6739963a7308111,3,PASS,8,254.80,Yes,No
953c10f2e4d6fd6,2,PASS,1,68.10,Yes,No
d91761f3ba340d,4,FAIL,13,283.11,Yes,No
bc66c2e18fd6231b,3,FAIL,10,257.15,Yes,No
4b236c53ea5fbbdf,3,FAIL,34,773.46,No,Yes
5f9a92945a4ab62e,1,PASS,7,148.92,Yes,No
860fbc1cfd446f7c,3,FAIL,7,203.76,No,Yes
5b5d43da944a752d,4,FAIL,13,278.40,Yes,No
971ad9f45d1bd53b,5,FAIL,17,368.34,No,Yes
5b3d4d35ac301050,2,FAIL,15,401.21,Yes,No
69a08c785ce5fcac,1,PASS,6,170.13,Yes,No
a814bed4f6905ba4,5,FAIL,14,272.48,Yes,No
f32fe4e5b37fedaa,5,FAIL,10,268.78,Yes,No
3ba7fc567dd14312,3,FAIL,14,329.79,Yes,No
7ce0b04c1a28cca6,1,FAIL,2,45.06,No,Yes
8635ff1b1bcf0c2e,5,FAIL,13,311.62,Yes,No
21df75919e7080e4,3,PASS,8,206.16,Yes,No
daa2db8c01da0bfa,5,FAIL,10,208.89,Yes,No
6443d25f8c289548,3,FAIL,8,134.05,No,Yes
91158b440e1d1942,5,FAIL,25,476.61,Yes,No
1ba6ec5d1f0c3bc6,2,FAIL,17,400.13,Yes,No
de0f40e0c4c5852a,4,FAIL,11,316.87,No,Yes
7c2cc9e25acdc10f,4,FAIL,9,170.92,Yes,No
146a216115846f70,5,FAIL,18,315.93,No,Yes
704931925890a56c,2,FAIL,3,41.93,Yes,No
22c41f4911d10461,3,FAIL,7,112.50,No,Yes
75761871763e88e3,2,FAIL,14,325.25,Yes,No
fee7fa98ecbf4534,1,FAIL,6,123.38,Yes,No
3abef01e5d890e13,4,FAIL,13,280.44,No,Yes
a71c3513799bf094,2,FAIL,2,86.93,Yes,No
3b229c1d0453a603,3,FAIL,10,218.44,Yes,No
ba867d9c182c1124,1,FAIL,10,197.83,No,Yes
22ee8177bb6b927d,4,FAIL,16,292.37,No,Yes
200a2fdec77f69b6,1,FAIL,7,163.51,Yes,No
4c7b5bd02c9270d,3,FAIL,12,298.38,No,Yes
efb560f2141edf82,1,PASS,3,79.02,Yes,No
b7b817f9033f188,5,FAIL,15,327.31,Yes,No
4cc3d963aecb0aec,3,FAIL,7,179.17,No,Yes
6a4a59d9017e80e2,4,FAIL,22,398.41,No,Yes
a483b2ad65b79823,4,FAIL,16,396.86,No,Yes
c611d73335c05ea3,3,FAIL,19,376.58,Yes,No
9fc7d6795a3be635,2,PASS,10,228.97,Yes,No
9b4f3b36495c1615,3,FAIL,8,142.54,No,Yes
1b62c846b90e5d1d,3,FAIL,12,244.10,Yes,No
934d99322aa22dff,1,FAIL,14,277.44,No,Yes
cd5b6b24c51fb69a,2,FAIL,18,309.49,Yes,No
bb9d7db6f55f1f1e,4,FAIL,10,218.83,Yes,No
d1e03bb313e747a9,1,FAIL,9,153.92,No,Yes
e1b6f8b19d2f4176,2,FAIL,15,313.13,No,Yes
c09ea70a605760d3,1,FAIL,16,263.72,Yes,No
58a0f5bca3ff514c,5,FAIL,16,322.46,Yes,No
625730bf3883005c,4,FAIL,16,308.55,Yes,No
8211b75bfb0c714d,1,PASS,11,190.41,Yes,No
12adf37a767b56ea,2,FAIL,8,148.29,Yes,No
4582b19904d9a029,1,PASS,9,150.68,Yes,No
62035ff8ad16cb71,2,FAIL,14,332.24,Yes,No
5c3f4379847796c4,4,FAIL,8,203.57,Yes,No
bc71d833fad658fb,1,FAIL,9,214.83,Yes,No
77da6edaa689f44a,2,FAIL,14,219.92,Yes,No
7326259652efbc9d,4,FAIL,1,80.06,No,Yes
85f95e3fbcd76abb,3,FAIL,15,294.92,Yes,No
bb667cb09578b4a3,5,FAIL,21,375.68,No,Yes
ad8f394763490f26,3,FAIL,3,55.21,Yes,No
3d1c8a00f582892,3,FAIL,8,269.50,Yes,No
b10c07139b1aa490,1,PASS,10,371.37,Yes,No
5d259263ec5a5c9e,4,FAIL,15,299.85,Yes,No
62d5ef592f8f91fc,3,FAIL,17,372.59,No,Yes
be49f0eca3cd4c32,1,FAIL,9,172.85,Yes,No
220246750ec56ccb,2,FAIL,3,60.99,Yes,No
f425a63fc423ced0,3,FAIL,16,312.67,No,Yes
b3e3c52cd5223942,5,FAIL,13,514.68,No,Yes
ce576f59fcd8e5b5,4,FAIL,15,451.97,Yes,No
d71204c97803d9a,4,FAIL,18,462.77,Yes,No
cc4ff7682e293a1b,2,PASS,11,209.37,Yes,No
b25e33c50909fc03,2,FAIL,17,440.80,Yes,No
f271fc95525040b1,5,FAIL,21,515.86,Yes,No
9390c84b6360b4bb,1,PASS,16,164.95,Yes,No
a454bd9c3ad0168a,5,FAIL,25,623.48,No,Yes
db130c08db23e907,1,PASS,19,254.98,Yes,No
5c59a67541d92c71,5,FAIL,8,113.97,Yes,No
745deea1055373eb,3,FAIL,12,189.85,Yes,No
440d97e917325fb0,3,FAIL,9,185.97,No,Yes
dbd181183bb9f775,4,FAIL,21,695.29,Yes,No
fef8e390bd7a2a7a,5,FAIL,7,203.07,No,Yes
