Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,76,1905.91,Yes,No
ebc9c10093a1255a,3,FAIL,13,463.56,Yes,No
ed40414d615431d6,3,FAIL,5,184.33,Yes,No
dce20e150e7fcced,5,FAIL,24,708.53,Yes,No
3fe8a85b768ae5b7,1,FAIL,1,46.28,Yes,No
1284a7249a4fa10f,3,FAIL,6,296.25,Yes,No
cbeb87b359947c42,3,FAIL,9,269.37,Yes,No
c80d64b5c5e39d7b,5,FAIL,25,868.34,Yes,No
24e8876585456ee5,5,FAIL,8,234.49,Yes,No
196a88635b1c83b4,4,FAIL,7,194.29,Yes,No
e82bd665d710bb75,2,FAIL,24,852.59,Yes,No
c6739963a7308111,3,FAIL,8,287.34,Yes,No
953c10f2e4d6fd6,2,PASS,1,20.46,Yes,No
d91761f3ba340d,4,FAIL,45,1289.41,Yes,No
bc66c2e18fd6231b,3,FAIL,14,325.91,Yes,No
4b236c53ea5fbbdf,3,FAIL,29,851.77,Yes,No
5f9a92945a4ab62e,1,FAIL,11,319.41,Yes,No
860fbc1cfd446f7c,3,FAIL,1,17.02,Yes,No
5b5d43da944a752d,4,PASS,15,494.59,Yes,No
971ad9f45d1bd53b,5,FAIL,100,2358.92,No,Yes
5b3d4d35ac301050,2,PASS,15,582.95,Yes,No
69a08c785ce5fcac,1,PASS,8,321.72,Yes,No
a814bed4f6905ba4,5,FAIL,16,367.26,Yes,No
f32fe4e5b37fedaa,5,FAIL,100,2364.34,No,Yes
3ba7fc567dd14312,3,FAIL,12,384.90,Yes,No
7ce0b04c1a28cca6,1,FAIL,22,515.50,Yes,No
8635ff1b1bcf0c2e,5,FAIL,13,508.08,Yes,No
21df75919e7080e4,3,PASS,12,408.63,Yes,No
daa2db8c01da0bfa,5,FAIL,12,287.92,Yes,No
6443d25f8c289548,3,FAIL,3,96.28,Yes,No
91158b440e1d1942,5,FAIL,25,699.72,Yes,No
