Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,23,632.94,None
ebc9c10093a1255a,3,FAIL,26,558.96,None
ed40414d615431d6,3,FAIL,10,462.99,None
dce20e150e7fcced,5,FAIL,19,569.39,None
3fe8a85b768ae5b7,1,FAIL,24,390.01,None
1284a7249a4fa10f,3,FAIL,5,617.50,None
cbeb87b359947c42,3,FAIL,10,369.73,rules
c80d64b5c5e39d7b,5,FAIL,22,533.65,disconnected
24e8876585456ee5,5,FAIL,5,571.49,None
196a88635b1c83b4,4,FAIL,14,586.00,rules
e82bd665d710bb75,2,PASS,19,550.56,None
c6739963a7308111,3,FAIL,9,448.42,None
953c10f2e4d6fd6,2,FAIL,12,484.75,rules
d91761f3ba340d,4,FAIL,14,521.15,None
bc66c2e18fd6231b,3,FAIL,9,484.81,None
4b236c53ea5fbbdf,3,FAIL,6,447.18,None
5f9a92945a4ab62e,1,PASS,8,409.14,None
860fbc1cfd446f7c,3,FAIL,19,579.18,"start/end, disconnected, intersecting"
5b5d43da944a752d,4,PASS,10,497.39,None
971ad9f45d1bd53b,5,FAIL,16,584.07,"start/end, intersecting"
5b3d4d35ac301050,2,PASS,12,544.57,None
69a08c785ce5fcac,1,FAIL,6,301.23,"start/end, rules"
a814bed4f6905ba4,5,FAIL,19,548.19,None
f32fe4e5b37fedaa,5,FAIL,27,594.13,disconnected
3ba7fc567dd14312,3,FAIL,17,539.15,None
7ce0b04c1a28cca6,1,FAIL,24,675.82,disconnected
8635ff1b1bcf0c2e,5,FAIL,12,448.92,None
21df75919e7080e4,3,PASS,9,452.47,None
daa2db8c01da0bfa,5,FAIL,11,554.92,None
6443d25f8c289548,3,FAIL,6,541.63,None
91158b440e1d1942,5,FAIL,10,421.78,rules
1ba6ec5d1f0c3bc6,2,FAIL,18,546.75,None
de0f40e0c4c5852a,4,FAIL,8,530.73,None
7c2cc9e25acdc10f,4,FAIL,28,551.13,None
146a216115846f70,5,FAIL,12,533.32,None
704931925890a56c,2,FAIL,10,481.94,None
