Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,21,3435.82,No,Yes
ebc9c10093a1255a,3,FAIL,19,2844.35,No,Yes
ed40414d615431d6,3,FAIL,7,1091.60,Yes,No
dce20e150e7fcced,5,FAIL,18,2603.10,Yes,No
3fe8a85b768ae5b7,1,FAIL,18,2514.79,No,Yes
1284a7249a4fa10f,3,FAIL,16,2213.72,Yes,No
cbeb87b359947c42,3,FAIL,9,1639.12,Yes,No
c80d64b5c5e39d7b,5,FAIL,27,4042.23,Yes,No
24e8876585456ee5,5,FAIL,8,1561.20,Yes,No
196a88635b1c83b4,4,FAIL,21,3118.06,Yes,No
e82bd665d710bb75,2,PASS,18,2148.36,Yes,No
c6739963a7308111,3,PASS,8,1000.37,Yes,No
953c10f2e4d6fd6,2,PASS,1,178.07,Yes,No
d91761f3ba340d,4,FAIL,13,1798.00,Yes,No
bc66c2e18fd6231b,3,FAIL,14,1839.48,Yes,No
4b236c53ea5fbbdf,3,FAIL,19,2916.04,Yes,No
5f9a92945a4ab62e,1,PASS,7,971.60,Yes,No
860fbc1cfd446f7c,3,FAIL,27,3734.04,No,Yes
5b5d43da944a752d,4,PASS,9,1446.80,Yes,No
971ad9f45d1bd53b,5,FAIL,11,1989.13,No,Yes
5b3d4d35ac301050,2,PASS,11,1538.52,Yes,No
69a08c785ce5fcac,1,PASS,6,910.31,Yes,No
a814bed4f6905ba4,5,FAIL,14,1668.69,Yes,No
f32fe4e5b37fedaa,5,FAIL,21,2913.86,No,Yes
3ba7fc567dd14312,3,FAIL,10,1327.04,Yes,No
7ce0b04c1a28cca6,1,FAIL,16,1888.48,Yes,No
8635ff1b1bcf0c2e,5,FAIL,15,2410.80,No,Yes
21df75919e7080e4,3,PASS,8,1240.12,Yes,No
daa2db8c01da0bfa,5,FAIL,10,1435.43,Yes,No
6443d25f8c289548,3,FAIL,3,404.20,Yes,No
91158b440e1d1942,5,FAIL,9,1296.65,Yes,No
1ba6ec5d1f0c3bc6,2,FAIL,17,1974.40,Yes,No
de0f40e0c4c5852a,4,FAIL,5,1182.99,Yes,No
7c2cc9e25acdc10f,4,FAIL,9,1667.27,Yes,No
146a216115846f70,5,FAIL,15,1862.78,Yes,No
704931925890a56c,2,FAIL,9,924.45,Yes,No
22c41f4911d10461,3,FAIL,17,2587.93,No,Yes
75761871763e88e3,2,FAIL,10,1428.48,Yes,No
fee7fa98ecbf4534,1,PASS,6,612.74,Yes,No
3abef01e5d890e13,4,FAIL,15,2183.80,Yes,No
a71c3513799bf094,2,FAIL,6,937.62,Yes,No
3b229c1d0453a603,3,FAIL,10,1125.14,Yes,No
ba867d9c182c1124,1,FAIL,12,1612.60,No,Yes
22ee8177bb6b927d,4,FAIL,20,2170.87,No,Yes
200a2fdec77f69b6,1,FAIL,7,744.09,Yes,No
4c7b5bd02c9270d,3,FAIL,8,1276.60,Yes,No
efb560f2141edf82,1,PASS,3,390.12,Yes,No
b7b817f9033f188,5,FAIL,11,1932.42,Yes,No
4cc3d963aecb0aec,3,FAIL,11,1887.60,Yes,No
6a4a59d9017e80e2,4,FAIL,4,519.25,Yes,No
a483b2ad65b79823,4,FAIL,14,2193.02,Yes,No
c611d73335c05ea3,3,FAIL,15,2306.56,Yes,No
9fc7d6795a3be635,2,PASS,10,878.99,Yes,No
9b4f3b36495c1615,3,FAIL,14,2214.40,Yes,No
1b62c846b90e5d1d,3,FAIL,18,2035.06,Yes,No
934d99322aa22dff,1,FAIL,14,1518.01,No,Yes
cd5b6b24c51fb69a,2,FAIL,10,1473.44,Yes,No
bb9d7db6f55f1f1e,4,FAIL,34,4681.15,Yes,No
d1e03bb313e747a9,1,PASS,15,1517.61,Yes,No
e1b6f8b19d2f4176,2,FAIL,18,2350.21,Yes,No
c09ea70a605760d3,1,FAIL,8,1101.68,Yes,No
58a0f5bca3ff514c,5,FAIL,17,2261.54,No,Yes
625730bf3883005c,4,PASS,20,2149.27,Yes,No
8211b75bfb0c714d,1,PASS,11,797.01,Yes,No
12adf37a767b56ea,2,FAIL,6,1064.67,Yes,No
4582b19904d9a029,1,FAIL,9,1272.26,Yes,No
62035ff8ad16cb71,2,FAIL,33,3917.50,No,Yes
5c3f4379847796c4,4,FAIL,12,1589.90,Yes,No
bc71d833fad658fb,1,FAIL,15,1917.25,Yes,No
77da6edaa689f44a,2,FAIL,14,2124.44,Yes,No
7326259652efbc9d,4,FAIL,26,3480.44,No,Yes
85f95e3fbcd76abb,3,FAIL,28,3423.63,No,Yes
bb667cb09578b4a3,5,FAIL,12,1448.72,Yes,No
ad8f394763490f26,3,FAIL,3,434.82,Yes,No
3d1c8a00f582892,3,FAIL,18,2504.69,No,Yes
b10c07139b1aa490,1,FAIL,10,1232.22,Yes,No
5d259263ec5a5c9e,4,FAIL,9,1413.98,No,Yes
62d5ef592f8f91fc,3,FAIL,10,1182.44,Yes,No
be49f0eca3cd4c32,1,FAIL,16,2244.35,No,Yes
220246750ec56ccb,2,FAIL,3,486.69,Yes,No
f425a63fc423ced0,3,FAIL,6,872.74,Yes,No
b3e3c52cd5223942,5,FAIL,35,4746.44,No,Yes
ce576f59fcd8e5b5,4,FAIL,9,1322.66,Yes,No
d71204c97803d9a,4,FAIL,18,2404.75,Yes,No
cc4ff7682e293a1b,2,PASS,11,1220.06,Yes,No
b25e33c50909fc03,2,FAIL,7,717.85,Yes,No
f271fc95525040b1,5,FAIL,15,2186.75,Yes,No
9390c84b6360b4bb,1,PASS,16,1048.82,Yes,No
a454bd9c3ad0168a,5,FAIL,10,1387.47,Yes,No
db130c08db23e907,1,PASS,19,2629.34,Yes,No
5c59a67541d92c71,5,FAIL,16,2535.28,Yes,No
745deea1055373eb,3,FAIL,11,1516.34,No,Yes
440d97e917325fb0,3,PASS,6,766.00,Yes,No
dbd181183bb9f775,4,FAIL,17,2510.64,Yes,No
fef8e390bd7a2a7a,5,FAIL,16,2344.41,No,Yes
3987c3fc8d33089e,3,FAIL,11,1927.39,Yes,No
851365be4fc5c5e,2,FAIL,7,816.11,Yes,No
e20e6b6a00158bdc,5,FAIL,30,3874.88,No,Yes
841b2d97bb365b8b,4,FAIL,17,2490.40,Yes,No
b4d66071dc728f44,2,FAIL,13,1515.37,Yes,No
1e7c5367fa438e3b,5,FAIL,15,1916.53,Yes,No
b8eb6f7dd1cc9b86,1,PASS,13,1202.14,Yes,No
1796837aa68c2b76,3,FAIL,17,2364.89,No,Yes
598f03a76e659bbd,3,FAIL,15,2519.81,Yes,No
a8ea92dd47f4186b,2,FAIL,15,2262.95,Yes,No
a305fe218d16e612,4,FAIL,15,2095.44,No,Yes
d58e426a05bbebe0,4,FAIL,16,2076.44,Yes,No
95baf8b98ab6874,5,FAIL,8,1366.50,Yes,No
d72e6e1a7317b676,4,FAIL,15,2235.05,Yes,No
b2888d9633744522,3,FAIL,14,1816.59,Yes,No
fb69acc1bff1c7b5,2,FAIL,6,793.09,Yes,No
1b23ec5dcd81c575,2,FAIL,17,2434.67,No,Yes
dedb9695c830d9a1,5,FAIL,10,1789.03,Yes,No
94e6829bc5fe599b,4,FAIL,8,1250.48,Yes,No
7f61e30cde11dfd2,5,FAIL,9,1253.72,Yes,No
ac07176ade6d4fcc,2,FAIL,25,3044.80,No,Yes
aecb916b87a88a32,3,FAIL,30,3578.12,No,Yes
6a3a112c0f2e831b,5,FAIL,10,1611.05,Yes,No
e836ae53a1a6b880,5,FAIL,15,2244.54,Yes,No
58d9c6f1f97d78c1,2,FAIL,12,1818.66,No,Yes
10bea253035c791c,2,FAIL,22,2810.04,No,Yes
5569f16359d15a33,5,FAIL,36,4396.59,No,Yes
d4af13ed1d455209,1,FAIL,18,2127.68,No,Yes
4efa50053369c63c,3,FAIL,11,1559.08,Yes,No
4088920d22fbc15a,2,FAIL,14,1724.82,Yes,No
9ecc1e98360e6c0d,3,FAIL,16,2272.29,Yes,No
8b47902d43ed5c7,3,FAIL,8,1171.30,Yes,No
6911f7c1419318bb,4,FAIL,14,2223.66,Yes,No
ed62498f9a7cf7a5,4,FAIL,13,1913.31,Yes,No
4b518615758126ef,3,FAIL,10,1454.66,Yes,No
a2a967199664a80,4,FAIL,5,912.83,Yes,No
93c544fa7b73dc1a,4,FAIL,28,3773.41,Yes,No
b54da7bdff2713e1,2,FAIL,8,1000.69,Yes,No
2c5ddc804e5b35ba,1,PASS,16,1922.84,Yes,No
241a28965ab741d,1,FAIL,2,284.52,Yes,No
4a5c32111bf61aae,5,FAIL,8,1564.59,No,Yes
65171c970b77339e,2,FAIL,15,2093.67,No,Yes
70c971586d6ab721,1,FAIL,12,1415.59,No,Yes
dd196820fff0f585,2,FAIL,11,1726.82,No,Yes
683d3d2b64d8d1fb,4,FAIL,15,2094.83,Yes,No
3ca9fa7e19e2188c,4,PASS,12,1264.21,Yes,No
581706995f65f93d,5,FAIL,27,4115.17,No,Yes
8f5dd8ca7b23f826,4,FAIL,1,130.29,Yes,No
4c6a9d610b717d17,3,FAIL,20,2711.05,Yes,No
f701ba6827f8ceff,2,FAIL,10,1774.11,No,Yes
24dd9a735b612dc1,3,FAIL,10,1525.70,Yes,No
138e21433d2e6a52,2,FAIL,16,1895.39,No,Yes
72a1fec5c73b6560,4,FAIL,12,1623.20,Yes,No
86c16115d5cda6a0,5,FAIL,27,4174.14,Yes,No
2790e863a5831db9,3,FAIL,13,2026.68,Yes,No
ab298046d34718be,5,FAIL,7,974.18,Yes,No
ad8274727f965b1c,1,FAIL,16,2211.44,Yes,No
a722e79130881da0,2,FAIL,14,1820.45,Yes,No
9435f4bc2b1cf34d,1,FAIL,16,1630.14,Yes,No
2e4b26ec1c401cbe,4,FAIL,7,1007.24,Yes,No
8b308dfba88e4ac,3,FAIL,24,2943.99,No,Yes
701d6d1daff25a25,2,FAIL,8,1273.69,Yes,No
f42b8d86bfb89096,1,FAIL,20,2456.85,No,Yes
c4341ab9fd5c439c,1,FAIL,11,1069.63,No,Yes
97be11048bb04a30,3,FAIL,7,756.57,Yes,No
7f403db698db059f,1,PASS,9,1541.02,Yes,No
9e892fbdd6f4c4a9,2,FAIL,11,1466.17,No,Yes
b7672ba95aff4ff6,5,FAIL,16,2285.91,Yes,No
e0e6857dd441101b,2,FAIL,18,2473.07,No,Yes
a12c7a055e6395a2,2,FAIL,4,630.91,Yes,No
e8f814f726cb4612,5,FAIL,7,1067.17,Yes,No
fc19c4a5e89d29f4,4,PASS,28,3457.85,Yes,No
4ec9d16a5a573d4e,2,FAIL,9,1056.69,No,Yes
8bbb1046d8c49095,1,FAIL,6,676.54,Yes,No
8e231f18dc7d476f,5,FAIL,21,2869.84,Yes,No
50ed62dcb0f1bce3,4,FAIL,10,1516.70,Yes,No
154515f7b4e4fe2b,2,PASS,2,328.97,Yes,No
1a43bd0f8e35bd1d,2,FAIL,15,2044.62,No,Yes
281ee792644831c5,2,FAIL,14,1944.88,Yes,No
c881c033239a38de,3,FAIL,9,1519.99,Yes,No
a92cdc81d7a94775,5,FAIL,12,2109.16,Yes,No
9283bfdf68bc92a8,2,FAIL,9,1205.85,Yes,No
b7cbcba402c57078,2,FAIL,20,2445.32,Yes,No
11846421c28ce2aa,4,FAIL,15,2253.37,Yes,No
2a0e2b1240764998,4,FAIL,10,1452.12,Yes,No
577d6771b88eca36,3,FAIL,18,2605.13,Yes,No
9c31840855436adc,5,FAIL,17,2976.49,Yes,No
495da6f2a1c1f750,5,FAIL,22,2799.63,No,Yes
544628c3b3077982,5,FAIL,15,2344.65,Yes,No
95bd7bebb5849554,2,FAIL,17,2449.62,No,Yes
5daa7098e5e15b8a,3,FAIL,17,2554.26,Yes,No
2d360e53c1cbf48e,2,FAIL,12,2332.78,No,Yes
ad210a7535f9228a,3,PASS,1,263.95,Yes,No
4d1f8e4f341d8ba,2,FAIL,12,1808.10,Yes,No
c0bf87685a69078a,2,FAIL,9,1099.67,Yes,No
e155b38ad467ae03,5,FAIL,14,2407.41,Yes,No
