Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,36,6487.08,Yes,No
ebc9c10093a1255a,3,FAIL,13,2755.44,Yes,No
ed40414d615431d6,3,FAIL,5,1238.21,Yes,No
dce20e150e7fcced,5,FAIL,22,4358.88,Yes,No
3fe8a85b768ae5b7,1,FAIL,100,12903.88,No,Yes
1284a7249a4fa10f,3,FAIL,10,2028.90,Yes,No
cbeb87b359947c42,3,FAIL,11,2140.99,Yes,No
c80d64b5c5e39d7b,5,FAIL,19,3724.09,Yes,No
24e8876585456ee5,5,FAIL,48,9432.39,Yes,No
196a88635b1c83b4,4,FAIL,15,2765.74,Yes,No
e82bd665d710bb75,2,PASS,20,3350.01,Yes,No
c6739963a7308111,3,FAIL,8,1371.21,Yes,No
953c10f2e4d6fd6,2,PASS,5,873.89,Yes,No
d91761f3ba340d,4,FAIL,13,2459.75,Yes,No
bc66c2e18fd6231b,3,FAIL,12,2338.64,Yes,No
4b236c53ea5fbbdf,3,FAIL,5,869.85,Yes,No
5f9a92945a4ab62e,1,PASS,7,1243.93,Yes,No
860fbc1cfd446f7c,3,FAIL,35,6056.30,Yes,No
5b5d43da944a752d,4,PASS,9,1580.05,Yes,No
971ad9f45d1bd53b,5,FAIL,76,13070.23,Yes,No
5b3d4d35ac301050,2,PASS,11,1753.95,Yes,No
69a08c785ce5fcac,1,PASS,6,824.74,Yes,No
a814bed4f6905ba4,5,FAIL,18,3590.89,Yes,No
f32fe4e5b37fedaa,5,FAIL,100,13622.74,No,Yes
3ba7fc567dd14312,3,FAIL,10,1720.20,Yes,No
7ce0b04c1a28cca6,1,FAIL,22,4086.66,Yes,No
8635ff1b1bcf0c2e,5,FAIL,19,4149.27,Yes,No
21df75919e7080e4,3,PASS,8,1648.45,Yes,No
daa2db8c01da0bfa,5,FAIL,16,3190.24,Yes,No
6443d25f8c289548,3,FAIL,3,535.64,Yes,No
91158b440e1d1942,5,FAIL,9,1887.80,Yes,No
1ba6ec5d1f0c3bc6,2,FAIL,41,5857.13,Yes,No
de0f40e0c4c5852a,4,FAIL,7,1356.05,Yes,No
7c2cc9e25acdc10f,4,FAIL,13,3243.98,Yes,No
146a216115846f70,5,FAIL,11,2114.67,Yes,No
704931925890a56c,2,FAIL,5,681.33,Yes,No
22c41f4911d10461,3,FAIL,17,3219.66,Yes,No
75761871763e88e3,2,FAIL,10,1833.28,Yes,No
fee7fa98ecbf4534,1,PASS,6,750.37,Yes,No
3abef01e5d890e13,4,FAIL,21,4506.95,Yes,No
a71c3513799bf094,2,FAIL,8,1576.45,Yes,No
3b229c1d0453a603,3,FAIL,26,4131.00,Yes,No
ba867d9c182c1124,1,FAIL,5,729.80,Yes,No
22ee8177bb6b927d,4,FAIL,25,4430.10,Yes,No
200a2fdec77f69b6,1,PASS,9,1619.16,Yes,No
4c7b5bd02c9270d,3,FAIL,8,1689.45,Yes,No
efb560f2141edf82,1,PASS,7,1505.71,Yes,No
b7b817f9033f188,5,FAIL,15,2969.18,Yes,No
4cc3d963aecb0aec,3,FAIL,15,3205.91,Yes,No
6a4a59d9017e80e2,4,FAIL,4,643.72,Yes,No
a483b2ad65b79823,4,FAIL,18,3264.30,Yes,No
c611d73335c05ea3,3,FAIL,15,2861.12,Yes,No
9fc7d6795a3be635,2,PASS,10,1574.85,Yes,No
9b4f3b36495c1615,3,FAIL,12,2205.17,Yes,No
1b62c846b90e5d1d,3,FAIL,12,2294.32,Yes,No
934d99322aa22dff,1,FAIL,88,13231.90,Yes,No
cd5b6b24c51fb69a,2,FAIL,12,2766.17,Yes,No
bb9d7db6f55f1f1e,4,FAIL,100,16609.19,No,Yes
d1e03bb313e747a9,1,PASS,15,2478.07,Yes,No
e1b6f8b19d2f4176,2,FAIL,30,4744.19,Yes,No
c09ea70a605760d3,1,FAIL,12,2322.50,Yes,No
58a0f5bca3ff514c,5,FAIL,34,6372.20,Yes,No
625730bf3883005c,4,PASS,14,2607.46,Yes,No
8211b75bfb0c714d,1,PASS,13,2163.74,Yes,No
