Metric,Value,Percentage
Total Puzzles Processed,500,100.0%
Correctly Solved,81,16.2%
Failed,419,83.8%
,,
Fully Valid Paths,374,74.8%
Connected Paths,425,85.0%
Correct Start/End,473,94.6%
Non-Intersecting,482,96.4%
No Rule Violations,450,90.0%
,,
Avg Path Length,16.1 steps,
Min Path Length,2 steps,
Max Path Length,64 steps,
,,
Difficulty 1 Solved,44/86,51.2%
Difficulty 2 Solved,24/118,20.3%
Difficulty 3 Solved,11/121,9.1%
Difficulty 4 Solved,2/86,2.3%
Difficulty 5 Solved,0/89,0.0%
,,
Total Time,255778.8 seconds,
Avg Time per Puzzle,511.56 seconds,
Puzzles per Minute,0.1,
