Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,11,129.85,No,Yes
ebc9c10093a1255a,3,FAIL,27,184.61,No,Yes
ed40414d615431d6,3,FAIL,11,118.63,No,Yes
dce20e150e7fcced,5,FAIL,27,185.53,No,Yes
3fe8a85b768ae5b7,1,FAIL,18,153.77,No,Yes
1284a7249a4fa10f,3,FAIL,6,80.61,No,Yes
cbeb87b359947c42,3,FAIL,13,120.23,Yes,No
c80d64b5c5e39d7b,5,FAIL,7,75.94,Yes,No
24e8876585456ee5,5,FAIL,7,82.05,No,Yes
196a88635b1c83b4,4,FAIL,5,61.14,Yes,No
e82bd665d710bb75,2,FAIL,10,83.26,Yes,No
c6739963a7308111,3,FAIL,9,91.40,No,Yes
953c10f2e4d6fd6,2,PASS,19,145.79,Yes,No
d91761f3ba340d,4,FAIL,13,96.80,Yes,No
bc66c2e18fd6231b,3,FAIL,15,115.21,No,Yes
4b236c53ea5fbbdf,3,FAIL,5,49.91,Yes,No
5f9a92945a4ab62e,1,FAIL,7,57.76,Yes,No
860fbc1cfd446f7c,3,FAIL,11,67.71,Yes,No
5b5d43da944a752d,4,FAIL,13,79.52,Yes,No
971ad9f45d1bd53b,5,FAIL,8,54.49,Yes,No
5b3d4d35ac301050,2,FAIL,15,126.96,No,Yes
69a08c785ce5fcac,1,FAIL,2,56.64,Yes,No
a814bed4f6905ba4,5,FAIL,11,113.07,No,Yes
f32fe4e5b37fedaa,5,FAIL,6,78.61,Yes,No
3ba7fc567dd14312,3,FAIL,8,93.22,No,Yes
7ce0b04c1a28cca6,1,FAIL,2,46.62,No,Yes
8635ff1b1bcf0c2e,5,FAIL,19,155.05,Yes,No
21df75919e7080e4,3,PASS,8,68.83,Yes,No
daa2db8c01da0bfa,5,FAIL,10,79.64,Yes,No
6443d25f8c289548,3,FAIL,3,40.02,Yes,No
91158b440e1d1942,5,FAIL,21,155.82,No,Yes
1ba6ec5d1f0c3bc6,2,FAIL,15,122.30,No,Yes
de0f40e0c4c5852a,4,FAIL,7,71.16,Yes,No
7c2cc9e25acdc10f,4,FAIL,10,66.32,No,Yes
146a216115846f70,5,FAIL,30,158.83,No,Yes
704931925890a56c,2,FAIL,15,95.28,No,Yes
22c41f4911d10461,3,FAIL,9,65.32,No,Yes
75761871763e88e3,2,FAIL,9,65.15,No,Yes
fee7fa98ecbf4534,1,FAIL,6,29.08,Yes,No
3abef01e5d890e13,4,FAIL,15,90.88,No,Yes
a71c3513799bf094,2,FAIL,11,113.47,No,Yes
3b229c1d0453a603,3,FAIL,2,59.03,Yes,No
ba867d9c182c1124,1,FAIL,5,68.70,Yes,No
22ee8177bb6b927d,4,FAIL,11,90.57,Yes,No
200a2fdec77f69b6,1,PASS,9,74.66,Yes,No
4c7b5bd02c9270d,3,FAIL,10,101.42,No,Yes
efb560f2141edf82,1,PASS,3,57.60,Yes,No
b7b817f9033f188,5,FAIL,10,103.12,No,Yes
4cc3d963aecb0aec,3,FAIL,16,140.17,No,Yes
6a4a59d9017e80e2,4,FAIL,22,144.38,No,Yes
a483b2ad65b79823,4,FAIL,12,83.92,No,Yes
c611d73335c05ea3,3,FAIL,15,113.00,Yes,No
9fc7d6795a3be635,2,FAIL,11,73.91,No,Yes
9b4f3b36495c1615,3,FAIL,7,69.65,No,Yes
1b62c846b90e5d1d,3,FAIL,16,108.35,No,Yes
934d99322aa22dff,1,FAIL,8,63.86,Yes,No
cd5b6b24c51fb69a,2,FAIL,16,91.06,No,Yes
bb9d7db6f55f1f1e,4,FAIL,12,93.38,No,Yes
d1e03bb313e747a9,1,FAIL,17,87.28,No,Yes
e1b6f8b19d2f4176,2,FAIL,18,105.43,Yes,No
c09ea70a605760d3,1,FAIL,8,98.03,Yes,No
58a0f5bca3ff514c,5,FAIL,16,150.12,Yes,No
625730bf3883005c,4,FAIL,30,226.94,No,Yes
8211b75bfb0c714d,1,PASS,11,87.49,Yes,No
12adf37a767b56ea,2,FAIL,9,109.29,No,Yes
4582b19904d9a029,1,FAIL,9,103.65,Yes,No
62035ff8ad16cb71,2,FAIL,8,95.47,No,Yes
5c3f4379847796c4,4,FAIL,12,108.97,Yes,No
bc71d833fad658fb,1,FAIL,11,83.92,Yes,No
77da6edaa689f44a,2,FAIL,15,118.66,No,Yes
7326259652efbc9d,4,FAIL,1,28.29,No,Yes
85f95e3fbcd76abb,3,FAIL,22,145.82,No,Yes
bb667cb09578b4a3,5,FAIL,23,145.43,No,Yes
ad8f394763490f26,3,FAIL,11,84.82,No,Yes
3d1c8a00f582892,3,FAIL,6,55.65,Yes,No
b10c07139b1aa490,1,FAIL,12,80.99,No,Yes
5d259263ec5a5c9e,4,FAIL,7,55.30,No,Yes
62d5ef592f8f91fc,3,FAIL,19,102.42,No,Yes
be49f0eca3cd4c32,1,FAIL,22,91.85,No,Yes
220246750ec56ccb,2,FAIL,7,53.38,No,Yes
f425a63fc423ced0,3,FAIL,8,105.39,Yes,No
b3e3c52cd5223942,5,FAIL,7,83.86,Yes,No
ce576f59fcd8e5b5,4,FAIL,12,126.81,No,Yes
d71204c97803d9a,4,FAIL,22,168.92,Yes,No
cc4ff7682e293a1b,2,FAIL,17,145.65,No,Yes
