Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,56,404.11,Yes,No
ebc9c10093a1255a,3,FAIL,100,606.75,No,Yes
ed40414d615431d6,3,FAIL,100,713.53,No,Yes
dce20e150e7fcced,5,FAIL,100,624.20,No,Yes
3fe8a85b768ae5b7,1,FAIL,11,109.14,Yes,No
1284a7249a4fa10f,3,FAIL,4,65.79,Yes,No
cbeb87b359947c42,3,FAIL,15,141.65,Yes,No
c80d64b5c5e39d7b,5,FAIL,15,140.22,Yes,No
24e8876585456ee5,5,FAIL,22,159.08,Yes,No
196a88635b1c83b4,4,FAIL,5,69.71,Yes,No
e82bd665d710bb75,2,FAIL,10,83.38,Yes,No
c6739963a7308111,3,PASS,86,608.68,Yes,No
953c10f2e4d6fd6,2,PASS,3,41.65,Yes,No
d91761f3ba340d,4,FAIL,15,115.40,Yes,No
bc66c2e18fd6231b,3,FAIL,100,686.65,No,Yes
4b236c53ea5fbbdf,3,FAIL,100,721.90,No,Yes
5f9a92945a4ab62e,1,FAIL,100,559.91,No,Yes
860fbc1cfd446f7c,3,FAIL,100,641.37,No,Yes
5b5d43da944a752d,4,FAIL,17,98.52,Yes,No
971ad9f45d1bd53b,5,FAIL,10,70.92,Yes,No
5b3d4d35ac301050,2,FAIL,100,589.43,No,Yes
69a08c785ce5fcac,1,PASS,26,191.70,Yes,No
a814bed4f6905ba4,5,FAIL,64,462.97,Yes,No
f32fe4e5b37fedaa,5,FAIL,100,626.97,No,Yes
3ba7fc567dd14312,3,FAIL,100,734.01,No,Yes
7ce0b04c1a28cca6,1,FAIL,100,457.86,No,Yes
8635ff1b1bcf0c2e,5,FAIL,100,723.79,No,Yes
21df75919e7080e4,3,PASS,8,68.90,Yes,No
daa2db8c01da0bfa,5,FAIL,10,77.07,Yes,No
6443d25f8c289548,3,FAIL,29,168.86,Yes,No
91158b440e1d1942,5,FAIL,45,315.15,Yes,No
1ba6ec5d1f0c3bc6,2,FAIL,100,697.49,No,Yes
de0f40e0c4c5852a,4,FAIL,100,695.70,No,Yes
7c2cc9e25acdc10f,4,FAIL,49,257.02,Yes,No
146a216115846f70,5,FAIL,47,307.24,Yes,No
704931925890a56c,2,FAIL,5,45.32,Yes,No
22c41f4911d10461,3,FAIL,33,201.66,Yes,No
75761871763e88e3,2,FAIL,100,680.75,No,Yes
fee7fa98ecbf4534,1,FAIL,12,63.79,Yes,No
3abef01e5d890e13,4,FAIL,100,642.59,No,Yes
a71c3513799bf094,2,FAIL,2,57.65,Yes,No
3b229c1d0453a603,3,FAIL,100,632.39,No,Yes
ba867d9c182c1124,1,FAIL,5,72.92,Yes,No
22ee8177bb6b927d,4,FAIL,100,418.42,No,Yes
200a2fdec77f69b6,1,PASS,81,391.09,Yes,No
4c7b5bd02c9270d,3,FAIL,10,111.82,Yes,No
efb560f2141edf82,1,PASS,3,51.37,Yes,No
b7b817f9033f188,5,FAIL,100,715.58,No,Yes
4cc3d963aecb0aec,3,FAIL,100,719.36,No,Yes
6a4a59d9017e80e2,4,FAIL,100,641.41,No,Yes
a483b2ad65b79823,4,FAIL,100,529.12,No,Yes
c611d73335c05ea3,3,FAIL,15,138.23,Yes,No
9fc7d6795a3be635,2,PASS,10,75.01,Yes,No
9b4f3b36495c1615,3,FAIL,100,675.14,No,Yes
1b62c846b90e5d1d,3,FAIL,64,400.92,Yes,No
934d99322aa22dff,1,FAIL,100,728.34,No,Yes
cd5b6b24c51fb69a,2,FAIL,100,583.37,No,Yes
bb9d7db6f55f1f1e,4,FAIL,100,714.25,No,Yes
d1e03bb313e747a9,1,FAIL,39,237.84,Yes,No
e1b6f8b19d2f4176,2,FAIL,56,337.33,Yes,No
c09ea70a605760d3,1,FAIL,100,485.79,No,Yes
58a0f5bca3ff514c,5,FAIL,100,588.55,No,Yes
625730bf3883005c,4,FAIL,100,710.41,No,Yes
8211b75bfb0c714d,1,PASS,18,127.71,Yes,No
12adf37a767b56ea,2,FAIL,16,164.36,Yes,No
4582b19904d9a029,1,FAIL,17,149.57,Yes,No
62035ff8ad16cb71,2,FAIL,100,704.71,No,Yes
5c3f4379847796c4,4,FAIL,14,121.65,Yes,No
bc71d833fad658fb,1,FAIL,7,67.00,Yes,No
77da6edaa689f44a,2,FAIL,6,58.27,Yes,No
7326259652efbc9d,4,FAIL,94,531.82,Yes,No
85f95e3fbcd76abb,3,FAIL,3,37.36,Yes,No
bb667cb09578b4a3,5,FAIL,100,550.93,No,Yes
ad8f394763490f26,3,FAIL,3,39.27,Yes,No
3d1c8a00f582892,3,FAIL,100,723.56,No,Yes
b10c07139b1aa490,1,FAIL,80,457.80,Yes,No
5d259263ec5a5c9e,4,FAIL,51,371.66,Yes,No
62d5ef592f8f91fc,3,FAIL,100,555.49,No,Yes
be49f0eca3cd4c32,1,FAIL,19,97.63,Yes,No
220246750ec56ccb,2,FAIL,21,143.65,Yes,No
