Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,25,125.01,No,Yes
ebc9c10093a1255a,3,FAIL,7,72.95,No,Yes
ed40414d615431d6,3,FAIL,12,88.60,Yes,No
dce20e150e7fcced,5,FAIL,100,283.27,No,Yes
3fe8a85b768ae5b7,1,FAIL,50,147.37,No,Yes
1284a7249a4fa10f,3,FAIL,4,56.83,Yes,No
cbeb87b359947c42,3,FAIL,55,169.86,Yes,No
c80d64b5c5e39d7b,5,FAIL,31,119.62,No,Yes
24e8876585456ee5,5,FAIL,4,46.39,Yes,No
196a88635b1c83b4,4,FAIL,12,73.14,Yes,No
e82bd665d710bb75,2,FAIL,15,78.93,Yes,No
c6739963a7308111,3,FAIL,20,86.70,Yes,No
953c10f2e4d6fd6,2,PASS,1,26.58,Yes,No
d91761f3ba340d,4,FAIL,43,121.13,Yes,No
bc66c2e18fd6231b,3,FAIL,14,62.23,No,Yes
4b236c53ea5fbbdf,3,FAIL,51,155.22,No,Yes
5f9a92945a4ab62e,1,FAIL,46,125.65,No,Yes
860fbc1cfd446f7c,3,FAIL,39,114.27,No,Yes
5b5d43da944a752d,4,FAIL,11,51.48,No,Yes
971ad9f45d1bd53b,5,FAIL,13,51.20,No,Yes
5b3d4d35ac301050,2,FAIL,7,71.73,No,Yes
69a08c785ce5fcac,1,FAIL,63,155.58,No,Yes
a814bed4f6905ba4,5,FAIL,100,302.79,No,Yes
f32fe4e5b37fedaa,5,FAIL,16,97.25,Yes,No
3ba7fc567dd14312,3,FAIL,12,75.43,No,Yes
7ce0b04c1a28cca6,1,FAIL,4,48.07,No,Yes
8635ff1b1bcf0c2e,5,FAIL,22,95.26,No,Yes
21df75919e7080e4,3,FAIL,8,56.99,Yes,No
daa2db8c01da0bfa,5,FAIL,17,79.74,Yes,No
6443d25f8c289548,3,FAIL,3,34.69,Yes,No
91158b440e1d1942,5,FAIL,63,181.62,No,Yes
1ba6ec5d1f0c3bc6,2,FAIL,12,57.94,No,Yes
de0f40e0c4c5852a,4,FAIL,77,213.47,No,Yes
7c2cc9e25acdc10f,4,FAIL,9,54.79,Yes,No
146a216115846f70,5,FAIL,15,61.88,No,Yes
704931925890a56c,2,FAIL,11,50.09,No,Yes
22c41f4911d10461,3,FAIL,19,66.81,No,Yes
75761871763e88e3,2,FAIL,7,29.75,No,Yes
fee7fa98ecbf4534,1,PASS,6,23.10,Yes,No
3abef01e5d890e13,4,FAIL,7,30.96,No,Yes
a71c3513799bf094,2,FAIL,2,54.12,Yes,No
3b229c1d0453a603,3,FAIL,2,52.34,Yes,No
ba867d9c182c1124,1,FAIL,97,218.35,Yes,No
22ee8177bb6b927d,4,FAIL,66,227.62,No,Yes
200a2fdec77f69b6,1,FAIL,4,45.65,No,Yes
4c7b5bd02c9270d,3,FAIL,21,91.75,No,Yes
efb560f2141edf82,1,FAIL,8,52.82,No,Yes
b7b817f9033f188,5,FAIL,16,82.61,No,Yes
4cc3d963aecb0aec,3,FAIL,7,52.34,No,Yes
6a4a59d9017e80e2,4,FAIL,16,68.11,No,Yes
a483b2ad65b79823,4,FAIL,12,73.01,No,Yes
c611d73335c05ea3,3,FAIL,56,160.84,No,Yes
9fc7d6795a3be635,2,PASS,40,122.98,Yes,No
9b4f3b36495c1615,3,FAIL,13,60.64,No,Yes
1b62c846b90e5d1d,3,FAIL,100,263.52,No,Yes
934d99322aa22dff,1,FAIL,100,192.15,No,Yes
cd5b6b24c51fb69a,2,FAIL,7,33.47,No,Yes
bb9d7db6f55f1f1e,4,FAIL,96,258.64,Yes,No
d1e03bb313e747a9,1,FAIL,53,112.75,No,Yes
e1b6f8b19d2f4176,2,FAIL,100,224.48,No,Yes
c09ea70a605760d3,1,FAIL,9,80.29,Yes,No
58a0f5bca3ff514c,5,FAIL,30,148.73,No,Yes
625730bf3883005c,4,FAIL,8,80.10,No,Yes
8211b75bfb0c714d,1,FAIL,100,184.64,No,Yes
12adf37a767b56ea,2,FAIL,47,156.28,No,Yes
4582b19904d9a029,1,FAIL,99,252.76,No,Yes
62035ff8ad16cb71,2,FAIL,24,101.95,Yes,No
5c3f4379847796c4,4,FAIL,7,61.17,No,Yes
bc71d833fad658fb,1,FAIL,13,69.12,Yes,No
77da6edaa689f44a,2,FAIL,47,140.45,Yes,No
7326259652efbc9d,4,FAIL,10,59.35,No,Yes
85f95e3fbcd76abb,3,FAIL,39,136.01,Yes,No
bb667cb09578b4a3,5,FAIL,15,71.43,No,Yes
ad8f394763490f26,3,FAIL,85,205.09,Yes,No
3d1c8a00f582892,3,FAIL,8,47.92,No,Yes
b10c07139b1aa490,1,FAIL,73,177.70,No,Yes
5d259263ec5a5c9e,4,FAIL,11,51.22,Yes,No
62d5ef592f8f91fc,3,FAIL,46,136.53,No,Yes
be49f0eca3cd4c32,1,FAIL,24,60.77,No,Yes
220246750ec56ccb,2,FAIL,3,14.67,Yes,No
f425a63fc423ced0,3,FAIL,7,72.16,No,Yes
b3e3c52cd5223942,5,FAIL,9,87.33,No,Yes
ce576f59fcd8e5b5,4,FAIL,23,120.07,No,Yes
d71204c97803d9a,4,FAIL,11,87.79,No,Yes
cc4ff7682e293a1b,2,FAIL,16,87.95,No,Yes
b25e33c50909fc03,2,FAIL,100,229.20,No,Yes
f271fc95525040b1,5,FAIL,22,105.74,No,Yes
9390c84b6360b4bb,1,FAIL,100,164.40,No,Yes
a454bd9c3ad0168a,5,FAIL,37,144.03,No,Yes
db130c08db23e907,1,FAIL,23,81.76,No,Yes
5c59a67541d92c71,5,FAIL,11,62.25,No,Yes
745deea1055373eb,3,FAIL,100,291.18,No,Yes
440d97e917325fb0,3,PASS,6,42.63,Yes,No
dbd181183bb9f775,4,FAIL,100,246.28,No,Yes
fef8e390bd7a2a7a,5,FAIL,100,271.44,No,Yes
3987c3fc8d33089e,3,FAIL,25,92.89,No,Yes
851365be4fc5c5e,2,FAIL,14,53.75,No,Yes
e20e6b6a00158bdc,5,FAIL,90,240.18,Yes,No
841b2d97bb365b8b,4,FAIL,99,298.76,No,Yes
b4d66071dc728f44,2,FAIL,17,63.40,No,Yes
1e7c5367fa438e3b,5,FAIL,8,74.48,No,Yes
b8eb6f7dd1cc9b86,1,FAIL,62,144.43,No,Yes
1796837aa68c2b76,3,FAIL,19,107.44,No,Yes
598f03a76e659bbd,3,FAIL,11,77.11,No,Yes
a8ea92dd47f4186b,2,FAIL,20,110.27,No,Yes
a305fe218d16e612,4,FAIL,20,103.35,No,Yes
d58e426a05bbebe0,4,FAIL,52,182.61,No,Yes
95baf8b98ab6874,5,FAIL,4,51.84,Yes,No
d72e6e1a7317b676,4,FAIL,12,72.26,No,Yes
b2888d9633744522,3,FAIL,100,239.95,No,Yes
fb69acc1bff1c7b5,2,FAIL,1,28.43,No,Yes
1b23ec5dcd81c575,2,FAIL,61,170.95,No,Yes
dedb9695c830d9a1,5,FAIL,7,46.34,No,Yes
94e6829bc5fe599b,4,FAIL,15,67.80,No,Yes
7f61e30cde11dfd2,5,FAIL,57,163.95,Yes,No
ac07176ade6d4fcc,2,FAIL,43,104.30,No,Yes
aecb916b87a88a32,3,FAIL,1,15.39,Yes,No
6a3a112c0f2e831b,5,FAIL,15,58.74,No,Yes
e836ae53a1a6b880,5,FAIL,9,42.20,No,Yes
58d9c6f1f97d78c1,2,FAIL,12,44.23,No,Yes
10bea253035c791c,2,FAIL,93,263.29,No,Yes
5569f16359d15a33,5,FAIL,43,177.44,No,Yes
d4af13ed1d455209,1,FAIL,13,75.89,Yes,No
4efa50053369c63c,3,FAIL,35,151.62,No,Yes
4088920d22fbc15a,2,FAIL,44,152.72,No,Yes
9ecc1e98360e6c0d,3,FAIL,10,80.41,No,Yes
8b47902d43ed5c7,3,FAIL,24,104.61,Yes,No
6911f7c1419318bb,4,FAIL,8,57.73,No,Yes
ed62498f9a7cf7a5,4,FAIL,18,95.18,Yes,No
4b518615758126ef,3,FAIL,7,51.68,No,Yes
a2a967199664a80,4,FAIL,34,128.21,No,Yes
93c544fa7b73dc1a,4,FAIL,100,234.80,No,Yes
b54da7bdff2713e1,2,FAIL,54,148.56,No,Yes
2c5ddc804e5b35ba,1,FAIL,13,60.42,No,Yes
241a28965ab741d,1,FAIL,15,57.63,No,Yes
4a5c32111bf61aae,5,FAIL,25,94.93,No,Yes
65171c970b77339e,2,FAIL,16,58.28,No,Yes
70c971586d6ab721,1,FAIL,1,11.24,No,Yes
dd196820fff0f585,2,FAIL,23,82.44,Yes,No
683d3d2b64d8d1fb,4,FAIL,80,207.72,Yes,No
3ca9fa7e19e2188c,4,FAIL,48,165.49,Yes,No
581706995f65f93d,5,FAIL,1,47.55,Yes,No
8f5dd8ca7b23f826,4,FAIL,26,122.56,No,Yes
4c6a9d610b717d17,3,FAIL,16,89.18,Yes,No
f701ba6827f8ceff,2,FAIL,97,265.01,No,Yes
24dd9a735b612dc1,3,FAIL,13,79.31,Yes,No
138e21433d2e6a52,2,FAIL,19,85.80,No,Yes
72a1fec5c73b6560,4,FAIL,29,115.78,No,Yes
86c16115d5cda6a0,5,FAIL,51,157.29,No,Yes
2790e863a5831db9,3,FAIL,25,95.14,No,Yes
ab298046d34718be,5,FAIL,7,47.71,Yes,No
ad8274727f965b1c,1,FAIL,4,31.32,Yes,No
a722e79130881da0,2,FAIL,9,47.00,No,Yes
9435f4bc2b1cf34d,1,FAIL,100,160.62,No,Yes
2e4b26ec1c401cbe,4,FAIL,16,65.29,No,Yes
8b308dfba88e4ac,3,FAIL,1,15.12,Yes,No
701d6d1daff25a25,2,FAIL,17,56.31,No,Yes
f42b8d86bfb89096,1,FAIL,4,19.53,Yes,No
c4341ab9fd5c439c,1,FAIL,2,9.74,No,Yes
97be11048bb04a30,3,FAIL,26,75.49,No,Yes
7f403db698db059f,1,FAIL,8,72.26,Yes,No
9e892fbdd6f4c4a9,2,FAIL,100,268.54,No,Yes
b7672ba95aff4ff6,5,FAIL,100,281.34,No,Yes
e0e6857dd441101b,2,FAIL,100,256.57,No,Yes
a12c7a055e6395a2,2,FAIL,72,166.21,No,Yes
e8f814f726cb4612,5,FAIL,25,115.63,No,Yes
fc19c4a5e89d29f4,4,FAIL,13,80.45,Yes,No
4ec9d16a5a573d4e,2,FAIL,4,47.77,Yes,No
8bbb1046d8c49095,1,FAIL,9,52.17,Yes,No
8e231f18dc7d476f,5,FAIL,55,176.47,No,Yes
50ed62dcb0f1bce3,4,FAIL,9,55.35,No,Yes
154515f7b4e4fe2b,2,FAIL,8,47.61,No,Yes
1a43bd0f8e35bd1d,2,FAIL,18,66.78,Yes,No
281ee792644831c5,2,FAIL,24,87.94,Yes,No
c881c033239a38de,3,FAIL,17,57.11,No,Yes
a92cdc81d7a94775,5,FAIL,30,109.23,Yes,No
9283bfdf68bc92a8,2,FAIL,100,235.84,No,Yes
b7cbcba402c57078,2,FAIL,24,79.87,No,Yes
11846421c28ce2aa,4,FAIL,48,115.11,No,Yes
2a0e2b1240764998,4,FAIL,9,39.57,No,Yes
577d6771b88eca36,3,FAIL,88,263.10,No,Yes
9c31840855436adc,5,FAIL,53,217.60,No,Yes
495da6f2a1c1f750,5,FAIL,18,106.59,Yes,No
544628c3b3077982,5,FAIL,100,313.37,No,Yes
95bd7bebb5849554,2,FAIL,100,258.26,No,Yes
5daa7098e5e15b8a,3,FAIL,10,70.76,No,Yes
2d360e53c1cbf48e,2,FAIL,38,133.24,No,Yes
ad210a7535f9228a,3,PASS,34,115.77,Yes,No
4d1f8e4f341d8ba,2,FAIL,59,172.14,No,Yes
c0bf87685a69078a,2,FAIL,24,95.27,Yes,No
e155b38ad467ae03,5,FAIL,48,164.31,No,Yes
525f7011d139f68e,1,FAIL,75,188.66,No,Yes
85ace8079f2972ab,3,FAIL,21,92.20,No,Yes
d79be6059dc29292,2,FAIL,42,126.62,Yes,No
bc2d315cd19b8b76,3,FAIL,11,58.33,No,Yes
336018fab47f526a,2,FAIL,12,43.38,No,Yes
9a0559017cacdd9c,1,FAIL,9,34.37,Yes,No
5d4260bea3b7d613,1,FAIL,17,54.06,No,Yes
14738c1f0e0cf17e,2,FAIL,100,188.33,No,Yes
23f41583d9fe02ee,2,FAIL,5,18.17,Yes,No
58acf96418610e19,5,FAIL,18,104.97,No,Yes
624d40ea5ad58707,2,FAIL,4,57.67,Yes,No
9ec88d42d75e54fd,3,FAIL,36,146.53,No,Yes
476e3c927a845ee2,3,FAIL,9,73.58,Yes,No
664bfd4472be694f,2,FAIL,15,74.07,No,Yes
caa32446dc7ead46,2,FAIL,3,43.77,No,Yes
4fda11641a1a910d,2,FAIL,6,52.95,No,Yes
3e3df50762cc36ec,5,FAIL,54,175.57,No,Yes
25d54c7266e20657,1,FAIL,36,119.17,No,Yes
6989cd6ab3949a4f,3,FAIL,10,54.30,No,Yes
590618124bd8505f,1,FAIL,1,25.58,No,Yes
a467089dbb60a183,2,FAIL,2,28.01,No,Yes
d7085f61b66ce173,3,FAIL,41,127.83,Yes,No
f435579761647ddf,3,FAIL,29,84.16,Yes,No
feae5b1edd06f1d8,3,FAIL,23,76.04,Yes,No
