Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,17,193.03,No,Yes
ebc9c10093a1255a,3,FAIL,25,182.07,Yes,No
ed40414d615431d6,3,FAIL,9,114.01,Yes,No
dce20e150e7fcced,5,FAIL,30,238.29,Yes,No
3fe8a85b768ae5b7,1,FAIL,27,214.62,Yes,No
1284a7249a4fa10f,3,FAIL,4,78.61,Yes,No
cbeb87b359947c42,3,FAIL,24,243.29,No,Yes
c80d64b5c5e39d7b,5,FAIL,23,166.75,Yes,No
24e8876585456ee5,5,FAIL,16,146.72,Yes,No
196a88635b1c83b4,4,FAIL,17,177.09,Yes,No
e82bd665d710bb75,2,FAIL,14,118.01,Yes,No
c6739963a7308111,3,PASS,8,98.44,Yes,No
953c10f2e4d6fd6,2,FAIL,12,127.74,No,Yes
d91761f3ba340d,4,FAIL,13,99.76,Yes,No
bc66c2e18fd6231b,3,PASS,10,104.88,Yes,No
4b236c53ea5fbbdf,3,FAIL,19,165.62,Yes,No
5f9a92945a4ab62e,1,FAIL,8,119.72,No,Yes
860fbc1cfd446f7c,3,FAIL,19,149.62,No,Yes
5b5d43da944a752d,4,FAIL,13,110.25,Yes,No
971ad9f45d1bd53b,5,FAIL,8,54.72,Yes,No
5b3d4d35ac301050,2,PASS,11,153.75,Yes,No
69a08c785ce5fcac,1,PASS,6,111.67,Yes,No
a814bed4f6905ba4,5,FAIL,18,199.39,Yes,No
f32fe4e5b37fedaa,5,FAIL,26,223.92,Yes,No
3ba7fc567dd14312,3,FAIL,10,104.79,Yes,No
7ce0b04c1a28cca6,1,FAIL,21,214.90,No,Yes
8635ff1b1bcf0c2e,5,FAIL,15,165.03,Yes,No
21df75919e7080e4,3,PASS,8,149.72,Yes,No
daa2db8c01da0bfa,5,FAIL,10,103.16,Yes,No
6443d25f8c289548,3,FAIL,5,82.04,Yes,No
91158b440e1d1942,5,FAIL,15,136.29,Yes,No
1ba6ec5d1f0c3bc6,2,PASS,17,152.52,Yes,No
de0f40e0c4c5852a,4,FAIL,7,88.33,Yes,No
7c2cc9e25acdc10f,4,FAIL,23,180.79,Yes,No
146a216115846f70,5,FAIL,17,130.57,Yes,No
704931925890a56c,2,FAIL,9,88.37,Yes,No
22c41f4911d10461,3,FAIL,33,184.65,Yes,No
75761871763e88e3,2,FAIL,10,79.46,Yes,No
fee7fa98ecbf4534,1,PASS,10,66.70,Yes,No
3abef01e5d890e13,4,FAIL,17,114.31,Yes,No
a71c3513799bf094,2,FAIL,27,230.38,No,Yes
3b229c1d0453a603,3,FAIL,10,127.74,Yes,No
ba867d9c182c1124,1,FAIL,14,175.42,No,Yes
22ee8177bb6b927d,4,FAIL,21,172.21,Yes,No
200a2fdec77f69b6,1,PASS,9,112.04,Yes,No
4c7b5bd02c9270d,3,FAIL,8,114.28,Yes,No
efb560f2141edf82,1,FAIL,11,139.14,No,Yes
b7b817f9033f188,5,FAIL,7,113.88,No,Yes
4cc3d963aecb0aec,3,FAIL,11,139.11,Yes,No
6a4a59d9017e80e2,4,FAIL,4,53.67,Yes,No
a483b2ad65b79823,4,FAIL,18,140.66,Yes,No
c611d73335c05ea3,3,FAIL,15,122.30,Yes,No
9fc7d6795a3be635,2,PASS,10,92.97,Yes,No
9b4f3b36495c1615,3,FAIL,10,119.70,Yes,No
1b62c846b90e5d1d,3,FAIL,10,101.47,Yes,No
934d99322aa22dff,1,FAIL,14,102.04,Yes,No
cd5b6b24c51fb69a,2,FAIL,10,96.99,Yes,No
bb9d7db6f55f1f1e,4,FAIL,22,146.10,Yes,No
d1e03bb313e747a9,1,FAIL,19,115.83,Yes,No
e1b6f8b19d2f4176,2,FAIL,18,129.97,Yes,No
c09ea70a605760d3,1,FAIL,11,145.77,No,Yes
58a0f5bca3ff514c,5,FAIL,16,157.26,Yes,No
625730bf3883005c,4,FAIL,14,156.89,Yes,No
8211b75bfb0c714d,1,PASS,11,129.64,Yes,No
12adf37a767b56ea,2,FAIL,6,97.31,Yes,No
4582b19904d9a029,1,FAIL,11,134.09,Yes,No
62035ff8ad16cb71,2,FAIL,22,164.73,Yes,No
5c3f4379847796c4,4,FAIL,20,169.84,Yes,No
bc71d833fad658fb,1,FAIL,3,95.61,Yes,No
77da6edaa689f44a,2,FAIL,6,83.44,Yes,No
7326259652efbc9d,4,FAIL,28,199.11,Yes,No
85f95e3fbcd76abb,3,FAIL,31,180.88,Yes,No
bb667cb09578b4a3,5,FAIL,12,98.83,Yes,No
ad8f394763490f26,3,FAIL,7,91.48,Yes,No
3d1c8a00f582892,3,FAIL,12,119.82,Yes,No
b10c07139b1aa490,1,FAIL,10,92.36,Yes,No
5d259263ec5a5c9e,4,FAIL,9,71.50,Yes,No
62d5ef592f8f91fc,3,FAIL,17,138.40,No,Yes
be49f0eca3cd4c32,1,FAIL,23,139.87,Yes,No
220246750ec56ccb,2,FAIL,9,87.18,Yes,No
f425a63fc423ced0,3,FAIL,6,116.53,Yes,No
b3e3c52cd5223942,5,FAIL,25,220.61,No,Yes
ce576f59fcd8e5b5,4,FAIL,17,203.01,Yes,No
d71204c97803d9a,4,FAIL,18,170.73,Yes,No
cc4ff7682e293a1b,2,PASS,11,110.72,Yes,No
b25e33c50909fc03,2,FAIL,7,92.14,Yes,No
f271fc95525040b1,5,FAIL,17,167.94,Yes,No
9390c84b6360b4bb,1,PASS,16,143.81,Yes,No
a454bd9c3ad0168a,5,FAIL,38,267.03,Yes,No
db130c08db23e907,1,FAIL,19,148.69,Yes,No
5c59a67541d92c71,5,FAIL,36,217.09,Yes,No
745deea1055373eb,3,FAIL,16,148.15,Yes,No
440d97e917325fb0,3,PASS,10,122.39,Yes,No
dbd181183bb9f775,4,FAIL,17,140.72,Yes,No
fef8e390bd7a2a7a,5,FAIL,24,223.82,Yes,No
3987c3fc8d33089e,3,FAIL,17,160.94,Yes,No
851365be4fc5c5e,2,PASS,11,112.81,Yes,No
e20e6b6a00158bdc,5,FAIL,26,213.19,No,Yes
841b2d97bb365b8b,4,FAIL,29,173.87,Yes,No
b4d66071dc728f44,2,FAIL,15,120.58,Yes,No
1e7c5367fa438e3b,5,FAIL,15,160.42,Yes,No
b8eb6f7dd1cc9b86,1,PASS,13,152.93,Yes,No
1796837aa68c2b76,3,FAIL,15,159.00,No,Yes
598f03a76e659bbd,3,PASS,19,192.27,Yes,No
a8ea92dd47f4186b,2,FAIL,16,166.77,No,Yes
a305fe218d16e612,4,FAIL,19,182.52,Yes,No
d58e426a05bbebe0,4,FAIL,12,119.37,Yes,No
95baf8b98ab6874,5,PASS,16,184.35,Yes,No
d72e6e1a7317b676,4,FAIL,15,148.73,Yes,No
b2888d9633744522,3,FAIL,10,96.84,Yes,No
fb69acc1bff1c7b5,2,FAIL,6,90.92,Yes,No
1b23ec5dcd81c575,2,FAIL,6,69.01,No,Yes
dedb9695c830d9a1,5,FAIL,14,106.88,Yes,No
94e6829bc5fe599b,4,FAIL,8,91.02,Yes,No
7f61e30cde11dfd2,5,FAIL,9,77.29,Yes,No
ac07176ade6d4fcc,2,FAIL,17,150.32,No,Yes
aecb916b87a88a32,3,FAIL,7,75.68,Yes,No
6a3a112c0f2e831b,5,FAIL,12,92.63,Yes,No
e836ae53a1a6b880,5,FAIL,11,108.37,Yes,No
58d9c6f1f97d78c1,2,FAIL,22,127.31,Yes,No
10bea253035c791c,2,FAIL,14,187.97,Yes,No
5569f16359d15a33,5,FAIL,26,225.31,Yes,No
d4af13ed1d455209,1,PASS,19,187.67,Yes,No
4efa50053369c63c,3,FAIL,11,153.97,Yes,No
4088920d22fbc15a,2,FAIL,14,159.68,Yes,No
9ecc1e98360e6c0d,3,FAIL,14,174.71,Yes,No
8b47902d43ed5c7,3,FAIL,8,122.32,Yes,No
6911f7c1419318bb,4,FAIL,14,147.82,Yes,No
ed62498f9a7cf7a5,4,FAIL,13,141.28,Yes,No
4b518615758126ef,3,FAIL,10,126.11,Yes,No
a2a967199664a80,4,FAIL,27,217.69,Yes,No
93c544fa7b73dc1a,4,FAIL,10,120.28,Yes,No
b54da7bdff2713e1,2,FAIL,8,93.73,Yes,No
2c5ddc804e5b35ba,1,PASS,16,147.71,Yes,No
241a28965ab741d,1,PASS,6,78.56,Yes,No
4a5c32111bf61aae,5,FAIL,10,101.87,Yes,No
65171c970b77339e,2,FAIL,17,152.58,Yes,No
70c971586d6ab721,1,PASS,16,143.64,Yes,No
dd196820fff0f585,2,FAIL,15,103.96,Yes,No
683d3d2b64d8d1fb,4,FAIL,19,122.36,Yes,No
3ca9fa7e19e2188c,4,PASS,12,144.16,Yes,No
581706995f65f93d,5,FAIL,19,158.74,Yes,No
8f5dd8ca7b23f826,4,FAIL,26,268.63,No,Yes
4c6a9d610b717d17,3,FAIL,16,150.27,Yes,No
f701ba6827f8ceff,2,FAIL,19,200.34,Yes,No
24dd9a735b612dc1,3,FAIL,14,171.28,Yes,No
138e21433d2e6a52,2,PASS,16,155.44,Yes,No
72a1fec5c73b6560,4,FAIL,16,173.98,No,Yes
86c16115d5cda6a0,5,FAIL,13,119.33,Yes,No
2790e863a5831db9,3,FAIL,15,114.69,Yes,No
ab298046d34718be,5,FAIL,7,92.28,Yes,No
ad8274727f965b1c,1,PASS,20,177.53,Yes,No
a722e79130881da0,2,FAIL,18,136.81,Yes,No
9435f4bc2b1cf34d,1,PASS,20,149.66,Yes,No
2e4b26ec1c401cbe,4,FAIL,7,74.84,Yes,No
8b308dfba88e4ac,3,FAIL,14,137.21,No,Yes
701d6d1daff25a25,2,FAIL,8,66.84,Yes,No
f42b8d86bfb89096,1,FAIL,17,129.69,Yes,No
c4341ab9fd5c439c,1,PASS,12,75.86,Yes,No
97be11048bb04a30,3,FAIL,15,141.93,Yes,No
7f403db698db059f,1,PASS,9,137.17,Yes,No
9e892fbdd6f4c4a9,2,FAIL,15,132.41,Yes,No
b7672ba95aff4ff6,5,FAIL,16,147.80,Yes,No
e0e6857dd441101b,2,FAIL,20,153.04,Yes,No
a12c7a055e6395a2,2,FAIL,4,78.87,Yes,No
e8f814f726cb4612,5,FAIL,9,103.86,Yes,No
fc19c4a5e89d29f4,4,PASS,28,181.21,Yes,No
4ec9d16a5a573d4e,2,FAIL,1,59.58,Yes,No
8bbb1046d8c49095,1,FAIL,6,76.22,Yes,No
8e231f18dc7d476f,5,FAIL,29,186.40,Yes,No
50ed62dcb0f1bce3,4,FAIL,10,100.19,Yes,No
154515f7b4e4fe2b,2,PASS,2,46.83,Yes,No
1a43bd0f8e35bd1d,2,FAIL,22,147.21,Yes,No
281ee792644831c5,2,FAIL,14,134.32,Yes,No
c881c033239a38de,3,FAIL,9,77.58,Yes,No
a92cdc81d7a94775,5,FAIL,12,100.10,Yes,No
9283bfdf68bc92a8,2,FAIL,9,81.85,Yes,No
b7cbcba402c57078,2,PASS,24,143.40,Yes,No
11846421c28ce2aa,4,FAIL,23,129.80,Yes,No
2a0e2b1240764998,4,FAIL,6,64.00,Yes,No
577d6771b88eca36,3,FAIL,18,174.80,Yes,No
9c31840855436adc,5,FAIL,13,153.15,Yes,No
495da6f2a1c1f750,5,FAIL,17,162.23,Yes,No
544628c3b3077982,5,FAIL,11,144.83,Yes,No
95bd7bebb5849554,2,FAIL,11,122.23,No,Yes
5daa7098e5e15b8a,3,FAIL,9,109.54,Yes,No
2d360e53c1cbf48e,2,FAIL,26,169.01,Yes,No
ad210a7535f9228a,3,PASS,1,55.63,Yes,No
4d1f8e4f341d8ba,2,FAIL,16,124.82,Yes,No
c0bf87685a69078a,2,FAIL,7,82.82,Yes,No
e155b38ad467ae03,5,FAIL,10,93.97,Yes,No
525f7011d139f68e,1,FAIL,16,147.47,No,Yes
85ace8079f2972ab,3,FAIL,18,140.90,Yes,No
d79be6059dc29292,2,FAIL,15,110.44,Yes,No
bc2d315cd19b8b76,3,FAIL,7,79.46,Yes,No
336018fab47f526a,2,FAIL,12,99.70,Yes,No
9a0559017cacdd9c,1,FAIL,17,141.90,Yes,No
5d4260bea3b7d613,1,PASS,7,63.59,Yes,No
14738c1f0e0cf17e,2,FAIL,6,67.62,Yes,No
23f41583d9fe02ee,2,FAIL,10,66.16,Yes,No
58acf96418610e19,5,FAIL,22,199.54,Yes,No
624d40ea5ad58707,2,FAIL,4,74.62,Yes,No
9ec88d42d75e54fd,3,FAIL,24,200.54,Yes,No
476e3c927a845ee2,3,FAIL,7,108.01,Yes,No
664bfd4472be694f,2,FAIL,18,207.44,No,Yes
caa32446dc7ead46,2,FAIL,5,118.27,No,Yes
4fda11641a1a910d,2,FAIL,17,160.82,Yes,No
3e3df50762cc36ec,5,FAIL,19,145.89,Yes,No
25d54c7266e20657,1,FAIL,14,177.72,No,Yes
6989cd6ab3949a4f,3,FAIL,17,125.15,Yes,No
590618124bd8505f,1,FAIL,5,80.86,No,Yes
a467089dbb60a183,2,FAIL,7,80.28,Yes,No
d7085f61b66ce173,3,FAIL,10,94.61,Yes,No
f435579761647ddf,3,FAIL,11,105.54,Yes,No
feae5b1edd06f1d8,3,FAIL,7,88.32,Yes,No
d68b4a78a6f0565e,4,FAIL,12,121.49,Yes,No
