Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,20,215.77,No,Yes
ebc9c10093a1255a,3,FAIL,20,190.36,No,Yes
ed40414d615431d6,3,FAIL,21,229.94,No,Yes
dce20e150e7fcced,5,FAIL,20,211.18,No,Yes
3fe8a85b768ae5b7,1,FAIL,1,66.96,Yes,No
1284a7249a4fa10f,3,FAIL,4,81.62,Yes,No
cbeb87b359947c42,3,FAIL,24,223.24,Yes,No
c80d64b5c5e39d7b,5,FAIL,27,256.00,No,Yes
24e8876585456ee5,5,FAIL,29,266.82,No,Yes
196a88635b1c83b4,4,FAIL,19,208.63,Yes,No
e82bd665d710bb75,2,FAIL,14,156.50,Yes,No
c6739963a7308111,3,FAIL,9,125.58,Yes,No
953c10f2e4d6fd6,2,FAIL,17,156.31,No,Yes
d91761f3ba340d,4,FAIL,18,169.99,No,Yes
bc66c2e18fd6231b,3,FAIL,8,112.79,No,Yes
4b236c53ea5fbbdf,3,FAIL,16,174.15,Yes,No
5f9a92945a4ab62e,1,FAIL,8,108.39,No,Yes
860fbc1cfd446f7c,3,FAIL,24,243.91,No,Yes
5b5d43da944a752d,4,FAIL,15,170.11,Yes,No
971ad9f45d1bd53b,5,FAIL,15,154.75,No,Yes
5b3d4d35ac301050,2,FAIL,14,172.48,Yes,No
69a08c785ce5fcac,1,FAIL,3,88.57,Yes,No
a814bed4f6905ba4,5,FAIL,18,211.45,Yes,No
f32fe4e5b37fedaa,5,FAIL,6,89.89,Yes,No
3ba7fc567dd14312,3,FAIL,21,201.51,No,Yes
7ce0b04c1a28cca6,1,FAIL,24,208.95,No,Yes
8635ff1b1bcf0c2e,5,FAIL,18,200.33,No,Yes
21df75919e7080e4,3,PASS,8,140.47,Yes,No
daa2db8c01da0bfa,5,FAIL,24,242.27,Yes,No
6443d25f8c289548,3,FAIL,3,47.68,Yes,No
91158b440e1d1942,5,FAIL,17,164.96,No,Yes
1ba6ec5d1f0c3bc6,2,FAIL,15,137.77,No,Yes
de0f40e0c4c5852a,4,FAIL,13,148.29,No,Yes
7c2cc9e25acdc10f,4,FAIL,20,217.31,No,Yes
146a216115846f70,5,FAIL,9,105.10,No,Yes
704931925890a56c,2,FAIL,16,148.96,No,Yes
22c41f4911d10461,3,FAIL,31,247.31,No,Yes
75761871763e88e3,2,FAIL,15,130.01,No,Yes
fee7fa98ecbf4534,1,PASS,6,77.80,Yes,No
3abef01e5d890e13,4,FAIL,19,140.21,No,Yes
a71c3513799bf094,2,FAIL,9,159.11,No,Yes
3b229c1d0453a603,3,FAIL,19,198.75,Yes,No
ba867d9c182c1124,1,FAIL,11,138.50,Yes,No
22ee8177bb6b927d,4,FAIL,15,197.26,No,Yes
200a2fdec77f69b6,1,PASS,10,106.94,Yes,No
4c7b5bd02c9270d,3,FAIL,16,170.49,No,Yes
efb560f2141edf82,1,FAIL,13,146.05,Yes,No
b7b817f9033f188,5,FAIL,12,148.33,No,Yes
4cc3d963aecb0aec,3,FAIL,19,159.73,No,Yes
6a4a59d9017e80e2,4,FAIL,26,174.52,No,Yes
a483b2ad65b79823,4,FAIL,23,196.35,No,Yes
c611d73335c05ea3,3,FAIL,11,110.66,Yes,No
9fc7d6795a3be635,2,FAIL,11,143.38,No,Yes
9b4f3b36495c1615,3,FAIL,20,196.50,No,Yes
1b62c846b90e5d1d,3,FAIL,14,167.04,Yes,No
934d99322aa22dff,1,FAIL,18,120.57,Yes,No
cd5b6b24c51fb69a,2,FAIL,2,34.77,No,Yes
bb9d7db6f55f1f1e,4,FAIL,16,171.89,No,Yes
d1e03bb313e747a9,1,FAIL,5,104.84,Yes,No
e1b6f8b19d2f4176,2,FAIL,23,159.34,Yes,No
c09ea70a605760d3,1,FAIL,17,199.81,No,Yes
58a0f5bca3ff514c,5,FAIL,17,215.32,Yes,No
625730bf3883005c,4,FAIL,22,223.56,No,Yes
8211b75bfb0c714d,1,PASS,11,116.63,Yes,No
12adf37a767b56ea,2,FAIL,9,128.52,No,Yes
4582b19904d9a029,1,FAIL,9,139.29,Yes,No
62035ff8ad16cb71,2,FAIL,9,96.51,No,Yes
5c3f4379847796c4,4,FAIL,8,119.83,Yes,No
bc71d833fad658fb,1,FAIL,3,76.22,Yes,No
77da6edaa689f44a,2,FAIL,16,138.97,No,Yes
7326259652efbc9d,4,FAIL,21,196.53,No,Yes
85f95e3fbcd76abb,3,FAIL,1,42.53,Yes,No
bb667cb09578b4a3,5,FAIL,18,155.70,No,Yes
ad8f394763490f26,3,PASS,17,202.48,Yes,No
3d1c8a00f582892,3,FAIL,13,137.91,No,Yes
b10c07139b1aa490,1,PASS,14,160.22,Yes,No
5d259263ec5a5c9e,4,FAIL,22,196.43,No,Yes
62d5ef592f8f91fc,3,FAIL,12,120.77,No,Yes
be49f0eca3cd4c32,1,FAIL,23,186.48,No,Yes
220246750ec56ccb,2,FAIL,36,221.74,No,Yes
f425a63fc423ced0,3,FAIL,12,186.15,No,Yes
b3e3c52cd5223942,5,FAIL,26,263.62,Yes,No
ce576f59fcd8e5b5,4,FAIL,15,248.18,Yes,No
d71204c97803d9a,4,FAIL,9,188.97,No,Yes
cc4ff7682e293a1b,2,FAIL,25,279.93,No,Yes
b25e33c50909fc03,2,FAIL,18,224.69,No,Yes
f271fc95525040b1,5,FAIL,29,241.29,Yes,No
9390c84b6360b4bb,1,PASS,16,133.84,Yes,No
a454bd9c3ad0168a,5,FAIL,14,165.12,No,Yes
db130c08db23e907,1,FAIL,20,176.19,No,Yes
5c59a67541d92c71,5,FAIL,10,131.32,Yes,No
745deea1055373eb,3,FAIL,16,157.82,Yes,No
440d97e917325fb0,3,PASS,7,148.31,Yes,No
dbd181183bb9f775,4,FAIL,19,183.68,Yes,No
fef8e390bd7a2a7a,5,FAIL,15,224.86,No,Yes
3987c3fc8d33089e,3,FAIL,22,231.60,No,Yes
851365be4fc5c5e,2,FAIL,7,94.60,Yes,No
e20e6b6a00158bdc,5,FAIL,23,172.09,Yes,No
841b2d97bb365b8b,4,FAIL,19,198.77,Yes,No
b4d66071dc728f44,2,FAIL,7,94.99,No,Yes
1e7c5367fa438e3b,5,FAIL,15,161.07,Yes,No
b8eb6f7dd1cc9b86,1,FAIL,7,106.01,No,Yes
1796837aa68c2b76,3,FAIL,18,188.09,No,Yes
598f03a76e659bbd,3,FAIL,16,169.97,No,Yes
a8ea92dd47f4186b,2,FAIL,11,185.12,No,Yes
a305fe218d16e612,4,FAIL,20,241.07,No,Yes
d58e426a05bbebe0,4,FAIL,21,241.20,No,Yes
95baf8b98ab6874,5,FAIL,18,197.90,No,Yes
d72e6e1a7317b676,4,FAIL,16,197.94,No,Yes
b2888d9633744522,3,FAIL,10,135.16,Yes,No
fb69acc1bff1c7b5,2,PASS,17,134.86,Yes,No
1b23ec5dcd81c575,2,FAIL,15,178.11,No,Yes
dedb9695c830d9a1,5,FAIL,18,147.76,Yes,No
94e6829bc5fe599b,4,FAIL,25,233.16,No,Yes
7f61e30cde11dfd2,5,FAIL,16,178.98,No,Yes
ac07176ade6d4fcc,2,FAIL,38,233.42,No,Yes
aecb916b87a88a32,3,FAIL,10,122.37,No,Yes
6a3a112c0f2e831b,5,FAIL,22,194.22,No,Yes
e836ae53a1a6b880,5,FAIL,19,188.68,No,Yes
58d9c6f1f97d78c1,2,FAIL,22,154.99,Yes,No
10bea253035c791c,2,FAIL,17,200.48,Yes,No
5569f16359d15a33,5,FAIL,16,186.58,No,Yes
d4af13ed1d455209,1,FAIL,8,135.81,No,Yes
4efa50053369c63c,3,FAIL,16,193.59,Yes,No
4088920d22fbc15a,2,FAIL,16,206.65,Yes,No
9ecc1e98360e6c0d,3,FAIL,13,195.17,No,Yes
8b47902d43ed5c7,3,FAIL,6,104.64,Yes,No
6911f7c1419318bb,4,FAIL,15,149.25,Yes,No
ed62498f9a7cf7a5,4,FAIL,21,235.59,No,Yes
4b518615758126ef,3,FAIL,7,99.42,Yes,No
a2a967199664a80,4,FAIL,15,192.90,No,Yes
93c544fa7b73dc1a,4,FAIL,16,160.07,No,Yes
b54da7bdff2713e1,2,FAIL,22,159.03,Yes,No
2c5ddc804e5b35ba,1,FAIL,28,224.89,No,Yes
241a28965ab741d,1,PASS,16,152.23,Yes,No
4a5c32111bf61aae,5,FAIL,2,37.26,Yes,No
65171c970b77339e,2,FAIL,18,150.44,Yes,No
70c971586d6ab721,1,FAIL,1,36.55,No,Yes
dd196820fff0f585,2,FAIL,13,148.52,Yes,No
683d3d2b64d8d1fb,4,FAIL,22,163.74,No,Yes
3ca9fa7e19e2188c,4,PASS,20,191.23,Yes,No
581706995f65f93d,5,FAIL,23,286.49,No,Yes
8f5dd8ca7b23f826,4,FAIL,29,278.98,No,Yes
4c6a9d610b717d17,3,FAIL,16,202.34,Yes,No
f701ba6827f8ceff,2,FAIL,16,237.78,No,Yes
24dd9a735b612dc1,3,FAIL,10,151.55,Yes,No
138e21433d2e6a52,2,FAIL,6,95.64,Yes,No
72a1fec5c73b6560,4,FAIL,17,203.41,Yes,No
86c16115d5cda6a0,5,FAIL,24,235.95,No,Yes
2790e863a5831db9,3,FAIL,16,189.40,Yes,No
ab298046d34718be,5,FAIL,11,147.94,Yes,No
ad8274727f965b1c,1,FAIL,17,187.68,No,Yes
a722e79130881da0,2,FAIL,10,132.44,Yes,No
9435f4bc2b1cf34d,1,PASS,25,159.63,Yes,No
2e4b26ec1c401cbe,4,FAIL,13,134.53,Yes,No
8b308dfba88e4ac,3,FAIL,14,139.51,No,Yes
701d6d1daff25a25,2,FAIL,10,71.79,Yes,No
f42b8d86bfb89096,1,FAIL,23,187.22,Yes,No
c4341ab9fd5c439c,1,FAIL,1,17.93,No,Yes
97be11048bb04a30,3,FAIL,9,114.12,Yes,No
7f403db698db059f,1,PASS,9,143.68,Yes,No
9e892fbdd6f4c4a9,2,FAIL,14,171.47,No,Yes
b7672ba95aff4ff6,5,FAIL,25,231.24,Yes,No
e0e6857dd441101b,2,FAIL,33,295.87,No,Yes
a12c7a055e6395a2,2,FAIL,17,173.11,Yes,No
e8f814f726cb4612,5,FAIL,27,278.21,No,Yes
fc19c4a5e89d29f4,4,FAIL,30,277.41,Yes,No
4ec9d16a5a573d4e,2,FAIL,1,56.23,Yes,No
8bbb1046d8c49095,1,FAIL,9,115.38,No,Yes
8e231f18dc7d476f,5,FAIL,11,166.52,No,Yes
50ed62dcb0f1bce3,4,FAIL,10,128.02,Yes,No
154515f7b4e4fe2b,2,PASS,15,153.41,Yes,No
1a43bd0f8e35bd1d,2,FAIL,26,251.67,Yes,No
281ee792644831c5,2,FAIL,26,232.52,Yes,No
c881c033239a38de,3,FAIL,13,145.53,Yes,No
a92cdc81d7a94775,5,FAIL,13,125.31,Yes,No
9283bfdf68bc92a8,2,FAIL,17,200.91,No,Yes
b7cbcba402c57078,2,FAIL,17,153.85,No,Yes
11846421c28ce2aa,4,FAIL,24,173.93,Yes,No
2a0e2b1240764998,4,FAIL,22,222.89,No,Yes
577d6771b88eca36,3,FAIL,27,245.33,Yes,No
9c31840855436adc,5,FAIL,25,263.29,Yes,No
495da6f2a1c1f750,5,FAIL,27,275.12,No,Yes
544628c3b3077982,5,FAIL,9,181.23,No,Yes
95bd7bebb5849554,2,FAIL,18,203.59,No,Yes
5daa7098e5e15b8a,3,FAIL,14,168.67,Yes,No
2d360e53c1cbf48e,2,FAIL,12,149.84,No,Yes
ad210a7535f9228a,3,FAIL,8,127.52,Yes,No
4d1f8e4f341d8ba,2,FAIL,12,144.19,Yes,No
c0bf87685a69078a,2,FAIL,14,198.11,Yes,No
e155b38ad467ae03,5,FAIL,13,142.71,No,Yes
525f7011d139f68e,1,FAIL,15,158.31,No,Yes
85ace8079f2972ab,3,FAIL,8,158.36,No,Yes
d79be6059dc29292,2,FAIL,15,135.30,Yes,No
bc2d315cd19b8b76,3,FAIL,12,156.44,No,Yes
336018fab47f526a,2,FAIL,16,143.00,Yes,No
