Puzzle ID,Difficulty,Solved,Steps Taken,Time (s),Reached End,No Legal Actions
aa31d05ed8fdb273,3,FAIL,23,138.75,No,Yes
ebc9c10093a1255a,3,FAIL,9,88.73,Yes,No
ed40414d615431d6,3,FAIL,11,93.56,No,Yes
dce20e150e7fcced,5,FAIL,15,109.50,No,Yes
3fe8a85b768ae5b7,1,FAIL,1,44.77,Yes,No
1284a7249a4fa10f,3,FAIL,7,72.91,No,Yes
cbeb87b359947c42,3,FAIL,10,82.82,No,Yes
c80d64b5c5e39d7b,5,FAIL,16,89.94,No,Yes
24e8876585456ee5,5,FAIL,23,124.22,No,Yes
196a88635b1c83b4,4,FAIL,9,69.11,Yes,No
e82bd665d710bb75,2,FAIL,10,65.43,Yes,No
c6739963a7308111,3,FAIL,7,54.18,No,Yes
953c10f2e4d6fd6,2,FAIL,12,67.34,No,Yes
d91761f3ba340d,4,FAIL,11,64.90,No,Yes
bc66c2e18fd6231b,3,FAIL,11,60.89,No,Yes
4b236c53ea5fbbdf,3,FAIL,12,66.07,No,Yes
5f9a92945a4ab62e,1,FAIL,11,45.29,No,Yes
860fbc1cfd446f7c,3,FAIL,17,75.92,No,Yes
5b5d43da944a752d,4,FAIL,8,40.78,No,Yes
971ad9f45d1bd53b,5,FAIL,11,55.53,No,Yes
5b3d4d35ac301050,2,FAIL,7,78.75,No,Yes
69a08c785ce5fcac,1,FAIL,6,71.92,No,Yes
a814bed4f6905ba4,5,FAIL,11,84.71,No,Yes
f32fe4e5b37fedaa,5,FAIL,6,71.95,Yes,No
3ba7fc567dd14312,3,FAIL,18,105.13,Yes,No
7ce0b04c1a28cca6,1,FAIL,2,43.38,No,Yes
8635ff1b1bcf0c2e,5,FAIL,7,65.90,No,Yes
21df75919e7080e4,3,PASS,9,61.70,Yes,No
daa2db8c01da0bfa,5,FAIL,22,106.41,Yes,No
6443d25f8c289548,3,FAIL,3,36.53,Yes,No
91158b440e1d1942,5,FAIL,11,78.28,No,Yes
1ba6ec5d1f0c3bc6,2,FAIL,16,79.80,No,Yes
de0f40e0c4c5852a,4,FAIL,29,115.12,No,Yes
7c2cc9e25acdc10f,4,FAIL,12,65.67,No,Yes
146a216115846f70,5,FAIL,22,89.10,No,Yes
704931925890a56c,2,FAIL,11,57.31,No,Yes
22c41f4911d10461,3,FAIL,7,43.89,No,Yes
75761871763e88e3,2,FAIL,11,49.78,No,Yes
fee7fa98ecbf4534,1,FAIL,6,23.88,Yes,No
3abef01e5d890e13,4,FAIL,11,53.75,No,Yes
a71c3513799bf094,2,FAIL,21,121.59,No,Yes
3b229c1d0453a603,3,FAIL,2,51.60,Yes,No
ba867d9c182c1124,1,FAIL,10,78.98,No,Yes
22ee8177bb6b927d,4,FAIL,12,86.13,No,Yes
200a2fdec77f69b6,1,FAIL,4,48.96,No,Yes
4c7b5bd02c9270d,3,FAIL,1,39.01,No,Yes
efb560f2141edf82,1,FAIL,13,76.61,No,Yes
b7b817f9033f188,5,FAIL,13,82.46,Yes,No
4cc3d963aecb0aec,3,FAIL,13,70.46,Yes,No
6a4a59d9017e80e2,4,FAIL,21,103.58,No,Yes
a483b2ad65b79823,4,FAIL,28,126.92,No,Yes
c611d73335c05ea3,3,FAIL,9,61.75,No,Yes
9fc7d6795a3be635,2,PASS,10,49.09,Yes,No
9b4f3b36495c1615,3,FAIL,27,106.19,Yes,No
1b62c846b90e5d1d,3,FAIL,20,85.31,Yes,No
934d99322aa22dff,1,FAIL,8,34.96,Yes,No
cd5b6b24c51fb69a,2,FAIL,2,18.90,No,Yes
bb9d7db6f55f1f1e,4,FAIL,14,67.98,Yes,No
d1e03bb313e747a9,1,FAIL,11,46.06,No,Yes
e1b6f8b19d2f4176,2,FAIL,13,55.08,No,Yes
c09ea70a605760d3,1,FAIL,19,112.09,No,Yes
58a0f5bca3ff514c,5,FAIL,15,112.63,No,Yes
625730bf3883005c,4,FAIL,15,97.47,No,Yes
8211b75bfb0c714d,1,FAIL,8,63.47,No,Yes
12adf37a767b56ea,2,FAIL,9,77.53,No,Yes
4582b19904d9a029,1,FAIL,17,97.63,Yes,No
62035ff8ad16cb71,2,FAIL,25,123.33,No,Yes
5c3f4379847796c4,4,FAIL,11,82.46,No,Yes
bc71d833fad658fb,1,FAIL,3,45.49,Yes,No
77da6edaa689f44a,2,FAIL,10,64.42,Yes,No
7326259652efbc9d,4,FAIL,1,28.16,No,Yes
85f95e3fbcd76abb,3,FAIL,22,95.06,No,Yes
bb667cb09578b4a3,5,FAIL,13,68.25,No,Yes
ad8f394763490f26,3,FAIL,11,58.29,No,Yes
3d1c8a00f582892,3,FAIL,12,62.78,Yes,No
b10c07139b1aa490,1,FAIL,8,45.05,No,Yes
5d259263ec5a5c9e,4,FAIL,11,56.87,No,Yes
62d5ef592f8f91fc,3,FAIL,13,63.30,No,Yes
be49f0eca3cd4c32,1,FAIL,22,76.30,No,Yes
220246750ec56ccb,2,FAIL,11,44.08,Yes,No
f425a63fc423ced0,3,FAIL,10,88.38,No,Yes
b3e3c52cd5223942,5,FAIL,21,140.42,No,Yes
ce576f59fcd8e5b5,4,FAIL,12,108.33,No,Yes
d71204c97803d9a,4,FAIL,14,102.20,Yes,No
cc4ff7682e293a1b,2,FAIL,11,90.26,No,Yes
b25e33c50909fc03,2,FAIL,10,86.14,No,Yes
f271fc95525040b1,5,FAIL,18,117.66,No,Yes
9390c84b6360b4bb,1,PASS,16,69.91,Yes,No
a454bd9c3ad0168a,5,FAIL,21,125.95,No,Yes
db130c08db23e907,1,FAIL,23,104.35,Yes,No
5c59a67541d92c71,5,FAIL,20,115.34,No,Yes
745deea1055373eb,3,FAIL,16,94.69,Yes,No
440d97e917325fb0,3,FAIL,7,52.14,No,Yes
dbd181183bb9f775,4,FAIL,21,102.12,No,Yes
fef8e390bd7a2a7a,5,FAIL,20,98.70,No,Yes
3987c3fc8d33089e,3,FAIL,30,128.11,No,Yes
851365be4fc5c5e,2,PASS,1,14.06,Yes,No
e20e6b6a00158bdc,5,FAIL,15,84.77,Yes,No
841b2d97bb365b8b,4,FAIL,13,78.03,No,Yes
b4d66071dc728f44,2,FAIL,13,55.99,Yes,No
1e7c5367fa438e3b,5,FAIL,8,79.54,No,Yes
b8eb6f7dd1cc9b86,1,FAIL,7,68.42,No,Yes
1796837aa68c2b76,3,FAIL,23,144.07,No,Yes
598f03a76e659bbd,3,FAIL,15,107.75,No,Yes
a8ea92dd47f4186b,2,FAIL,18,117.49,No,Yes
a305fe218d16e612,4,FAIL,15,101.45,No,Yes
d58e426a05bbebe0,4,FAIL,16,103.61,No,Yes
95baf8b98ab6874,5,FAIL,13,94.28,No,Yes
d72e6e1a7317b676,4,FAIL,5,52.01,Yes,No
b2888d9633744522,3,FAIL,13,82.79,No,Yes
fb69acc1bff1c7b5,2,FAIL,1,27.20,No,Yes
1b23ec5dcd81c575,2,FAIL,10,62.41,No,Yes
dedb9695c830d9a1,5,FAIL,7,48.97,No,Yes
94e6829bc5fe599b,4,FAIL,30,118.72,No,Yes
7f61e30cde11dfd2,5,FAIL,15,77.86,Yes,No
ac07176ade6d4fcc,2,FAIL,17,74.40,No,Yes
aecb916b87a88a32,3,FAIL,1,14.49,Yes,No
6a3a112c0f2e831b,5,FAIL,22,95.29,No,Yes
e836ae53a1a6b880,5,FAIL,15,117.35,No,Yes
58d9c6f1f97d78c1,2,FAIL,14,54.94,No,Yes
10bea253035c791c,2,FAIL,14,114.94,No,Yes
5569f16359d15a33,5,FAIL,23,149.44,No,Yes
d4af13ed1d455209,1,FAIL,18,112.46,No,Yes
4efa50053369c63c,3,FAIL,12,96.98,Yes,No
4088920d22fbc15a,2,FAIL,17,105.70,No,Yes
9ecc1e98360e6c0d,3,FAIL,16,113.83,No,Yes
8b47902d43ed5c7,3,FAIL,16,100.93,No,Yes
6911f7c1419318bb,4,FAIL,22,116.30,No,Yes
ed62498f9a7cf7a5,4,FAIL,14,94.31,No,Yes
4b518615758126ef,3,FAIL,10,80.63,Yes,No
a2a967199664a80,4,FAIL,21,113.76,No,Yes
93c544fa7b73dc1a,4,FAIL,12,73.28,Yes,No
b54da7bdff2713e1,2,FAIL,16,82.19,No,Yes
2c5ddc804e5b35ba,1,FAIL,8,55.86,No,Yes
241a28965ab741d,1,FAIL,15,70.74,No,Yes
4a5c32111bf61aae,5,FAIL,22,105.81,No,Yes
65171c970b77339e,2,FAIL,13,72.21,No,Yes
70c971586d6ab721,1,FAIL,12,59.83,No,Yes
dd196820fff0f585,2,FAIL,5,27.28,Yes,No
683d3d2b64d8d1fb,4,FAIL,12,55.85,No,Yes
3ca9fa7e19e2188c,4,FAIL,22,122.97,Yes,No
581706995f65f93d,5,FAIL,1,50.76,Yes,No
8f5dd8ca7b23f826,4,FAIL,21,120.84,No,Yes
4c6a9d610b717d17,3,FAIL,17,101.80,No,Yes
f701ba6827f8ceff,2,FAIL,1,41.26,Yes,No
24dd9a735b612dc1,3,FAIL,16,99.71,No,Yes
138e21433d2e6a52,2,FAIL,10,68.13,Yes,No
72a1fec5c73b6560,4,FAIL,8,67.06,No,Yes
86c16115d5cda6a0,5,FAIL,25,138.02,Yes,No
2790e863a5831db9,3,FAIL,24,108.14,No,Yes
ab298046d34718be,5,FAIL,7,59.14,Yes,No
ad8274727f965b1c,1,FAIL,15,80.18,No,Yes
a722e79130881da0,2,FAIL,19,87.14,No,Yes
9435f4bc2b1cf34d,1,FAIL,11,44.39,No,Yes
2e4b26ec1c401cbe,4,FAIL,19,79.40,No,Yes
8b308dfba88e4ac,3,FAIL,1,14.62,Yes,No
701d6d1daff25a25,2,FAIL,23,88.84,No,Yes
f42b8d86bfb89096,1,FAIL,5,32.30,Yes,No
c4341ab9fd5c439c,1,FAIL,1,10.45,No,Yes
97be11048bb04a30,3,FAIL,13,58.07,Yes,No
7f403db698db059f,1,FAIL,8,78.09,Yes,No
9e892fbdd6f4c4a9,2,FAIL,19,112.29,No,Yes
b7672ba95aff4ff6,5,FAIL,9,89.55,No,Yes
e0e6857dd441101b,2,FAIL,12,93.10,No,Yes
a12c7a055e6395a2,2,FAIL,17,96.10,No,Yes
e8f814f726cb4612,5,FAIL,25,135.71,No,Yes
fc19c4a5e89d29f4,4,FAIL,19,107.38,No,Yes
4ec9d16a5a573d4e,2,FAIL,1,36.68,Yes,No
8bbb1046d8c49095,1,FAIL,9,60.60,No,Yes
8e231f18dc7d476f,5,FAIL,19,109.26,No,Yes
50ed62dcb0f1bce3,4,FAIL,10,70.90,Yes,No
154515f7b4e4fe2b,2,FAIL,7,46.22,No,Yes
1a43bd0f8e35bd1d,2,FAIL,14,77.83,No,Yes
281ee792644831c5,2,FAIL,15,82.13,No,Yes
c881c033239a38de,3,FAIL,7,47.25,No,Yes
a92cdc81d7a94775,5,FAIL,19,96.77,No,Yes
9283bfdf68bc92a8,2,FAIL,15,75.28,No,Yes
b7cbcba402c57078,2,FAIL,7,33.66,No,Yes
11846421c28ce2aa,4,FAIL,17,80.98,Yes,No
2a0e2b1240764998,4,FAIL,18,74.79,Yes,No
577d6771b88eca36,3,FAIL,18,121.19,Yes,No
9c31840855436adc,5,FAIL,26,147.94,No,Yes
495da6f2a1c1f750,5,FAIL,18,125.85,No,Yes
544628c3b3077982,5,FAIL,8,86.88,No,Yes
95bd7bebb5849554,2,FAIL,13,92.15,No,Yes
5daa7098e5e15b8a,3,FAIL,13,94.68,Yes,No
2d360e53c1cbf48e,2,FAIL,8,66.87,Yes,No
ad210a7535f9228a,3,PASS,1,35.17,Yes,No
4d1f8e4f341d8ba,2,FAIL,16,90.38,No,Yes
c0bf87685a69078a,2,FAIL,18,92.17,No,Yes
e155b38ad467ae03,5,FAIL,15,93.63,No,Yes
525f7011d139f68e,1,FAIL,16,103.96,No,Yes
85ace8079f2972ab,3,FAIL,8,85.97,No,Yes
d79be6059dc29292,2,FAIL,13,66.78,No,Yes
bc2d315cd19b8b76,3,FAIL,13,79.12,No,Yes
336018fab47f526a,2,FAIL,14,71.33,No,Yes
9a0559017cacdd9c,1,FAIL,20,73.14,No,Yes
5d4260bea3b7d613,1,FAIL,9,42.64,Yes,No
14738c1f0e0cf17e,2,FAIL,10,47.68,Yes,No
23f41583d9fe02ee,2,FAIL,12,50.35,No,Yes
58acf96418610e19,5,FAIL,16,114.36,No,Yes
624d40ea5ad58707,2,FAIL,8,80.25,Yes,No
9ec88d42d75e54fd,3,FAIL,8,84.21,Yes,No
476e3c927a845ee2,3,FAIL,15,107.15,No,Yes
664bfd4472be694f,2,FAIL,14,96.52,No,Yes
caa32446dc7ead46,2,FAIL,6,61.64,Yes,No
4fda11641a1a910d,2,FAIL,7,68.34,Yes,No
3e3df50762cc36ec,5,FAIL,28,222.31,No,Yes
25d54c7266e20657,1,FAIL,20,105.19,No,Yes
6989cd6ab3949a4f,3,FAIL,19,95.70,No,Yes
590618124bd8505f,1,FAIL,1,29.74,No,Yes
a467089dbb60a183,2,FAIL,15,81.98,No,Yes
d7085f61b66ce173,3,FAIL,13,77.35,No,Yes
f435579761647ddf,3,FAIL,17,87.28,Yes,No
feae5b1edd06f1d8,3,FAIL,10,64.82,No,Yes
d68b4a78a6f0565e,4,FAIL,10,65.40,Yes,No
4aef1ec8290c118,3,FAIL,9,49.01,No,Yes
274e23e5326cd99e,3,FAIL,25,100.53,No,Yes
cea6e767c4288aaa,5,FAIL,11,62.31,Yes,No
a4c2176205e2a4a2,5,FAIL,6,30.35,Yes,No
a3e158fe8036aa90,1,FAIL,11,87.71,No,Yes
98325269e7bc1977,2,FAIL,18,113.47,No,Yes
8dc55e8d130ea293,3,FAIL,13,103.99,Yes,No
e090440b02df7219,3,FAIL,8,73.77,No,Yes
f758efc83c595b04,3,FAIL,20,118.18,No,Yes
ac7626649901d917,5,FAIL,19,112.65,Yes,No
cb28e0534aa0b063,2,FAIL,5,54.42,Yes,No
b7b14b2fbd23c24b,1,FAIL,9,64.01,No,Yes
f7c670905617d0e2,3,FAIL,11,73.52,Yes,No
cc060a01c6f06fab,1,FAIL,10,61.56,Yes,No
a8a6d541abcb65e9,5,FAIL,15,77.65,Yes,No
703d0229f69d6415,5,FAIL,19,101.80,No,Yes
608f0139a3c6e1de,3,FAIL,23,109.06,No,Yes
83e85cc51ea9b2fb,5,FAIL,13,80.27,No,Yes
899bbb366dc44689,3,FAIL,2,23.60,Yes,No
c8b18eeabcd973f1,1,FAIL,17,74.00,No,Yes
da30abc42943f24c,3,FAIL,8,41.66,No,Yes
e399bce353272491,5,FAIL,3,18.71,Yes,No
7306458c0105872e,5,FAIL,17,80.09,No,Yes
e605eb2515ac4bfe,5,FAIL,16,67.10,Yes,No
2f52e830064190c4,1,FAIL,11,90.29,No,Yes
226fd6aa76fd90b5,3,FAIL,11,95.82,No,Yes
70bb35cbdc82f22d,4,FAIL,25,121.75,Yes,No
c92372bd94215032,3,FAIL,8,80.55,No,Yes
7490b794631b985e,5,FAIL,12,99.50,No,Yes
82877e44b5aa0795,1,FAIL,1,42.13,Yes,No
5f0427651d0b984c,2,FAIL,7,63.87,No,Yes
